longname,Never Married % [StatCan],Married (not divorced) % [StatCan],Divorced % [StatCan]
"Toronto Population Center, ON, Canada",0.3742126031777402,0.5347884154552774,0.09099898136698227
"Montréal Population Center, QC, Canada",0.4763570734980991,0.40766186733525006,0.11598105916665093
"Vancouver Population Center, BC, Canada",0.37731070826716345,0.5275562565594885,0.09513303517334794
"Calgary Population Center, AB, Canada",0.3617282072649034,0.5361911377290283,0.10208065500606822
"Edmonton Population Center, AB, Canada",0.3771969281320397,0.517349302532258,0.10545376933570236
"Ottawa - Gatineau Population Center, QC-ON, Canada",0.4252286165319027,0.46361538567071237,0.111155997797385
"Winnipeg Population Center, MB, Canada",0.3923250290526407,0.509214363100887,0.09846060784647226
"Québec Population Center, QC, Canada",0.5423960313712565,0.3381984095568841,0.11940555907185937
"Hamilton Population Center, ON, Canada",0.35592333932642595,0.5322401853082341,0.11183647536533996
"Kitchener Population Center, ON, Canada",0.3752881851878053,0.5224401223582855,0.10227169245390925
"London Population Center, ON, Canada",0.38971137270838835,0.49470633052505275,0.11558229676655882
"Victoria Population Center, BC, Canada",0.37450663568027975,0.49382841626176094,0.13166494805795928
"Halifax Population Center, NS, Canada",0.42605174467935414,0.4638889959443041,0.11005925937634177
"Oshawa Population Center, ON, Canada",0.3561971317466489,0.530686461207993,0.11311640704535811
"Windsor Population Center, ON, Canada",0.36420080768955776,0.5218423233315062,0.11395686897893602
"Saskatoon Population Center, SK, Canada",0.391990452580286,0.510304904605241,0.09770464281447307
"St. Catharines - Niagara Falls Population Center, ON, Canada",0.3568925248330197,0.510931036056146,0.1321764391108344
"Regina Population Center, SK, Canada",0.3770267662467539,0.52231185650958,0.1006613772436661
"St. John's Population Center, NL, Canada",0.39760147191290424,0.4982387681961439,0.10415975989095183
"Kelowna Population Center, BC, Canada",0.34933564373904485,0.5241190085402987,0.12654534772065656
"Barrie Population Center, ON, Canada",0.378799600117091,0.4941254352947289,0.12707496458818016
"Sherbrooke Population Center, QC, Canada",0.5482353472020601,0.31873390725448575,0.13303074554345407
"Guelph Population Center, ON, Canada",0.3798322422543209,0.5120980284959299,0.10806972924974916
"Kanata Population Center, ON, Canada",0.30374244686625923,0.6079963347098861,0.08826121842385455
"Abbotsford Population Center, BC, Canada",0.31396133124445746,0.5873950340329377,0.09864363472260491
"Trois-Rivières Population Center, QC, Canada",0.5226625123639176,0.33884291840466024,0.1384945692314222
"Kingston Population Center, ON, Canada",0.405496570793015,0.47059697510776777,0.12390645409921718
"Milton Population Center, ON, Canada",0.29962089275465215,0.6287264319294824,0.0716526753158654
"Moncton Population Center, NB, Canada",0.3996563802132077,0.48212887208599375,0.11821474770079868
"White Rock Population Center, BC, Canada",0.2590038285992728,0.6193813500102456,0.12161482139048159
"Nanaimo Population Center, BC, Canada",0.35350831411325023,0.5028162254744223,0.1436754604123275
"Brantford Population Center, ON, Canada",0.36424925991524565,0.5048249365162717,0.13092580356848268
"Chicoutimi - Jonquière Population Center, QC, Canada",0.49998944975550463,0.37256770357087826,0.1274428466736172
"Saint-Jérôme Population Center, QC, Canada",0.5277346377755572,0.32905156534876423,0.14321379687567876
"Red Deer Population Center, AB, Canada",0.37418941797070865,0.4968153655255589,0.1289952165037324
"Thunder Bay Population Center, ON, Canada",0.4105592913988,0.4612329844177422,0.12820772418345766
"Lethbridge Population Center, AB, Canada",0.37147797261456966,0.5098310628890421,0.11869096449638818
"Kamloops Population Center, BC, Canada",0.37442732142982027,0.49542499029712816,0.13014768827305165
"Sudbury Population Center, ON, Canada",0.40972046325496064,0.4584955792508939,0.13178395749414545
"Saint-Jean-sur-Richelieu Population Center, QC, Canada",0.5135983438662177,0.34764039349517983,0.13876126263860258
"Peterborough Population Center, ON, Canada",0.38780772794417473,0.4805792176905563,0.13161305436526896
"Chilliwack Population Center, BC, Canada",0.3170372761250246,0.5541063182020814,0.12885640567289397
"Châteauguay Population Center, QC, Canada",0.4507211707718093,0.43110747343954253,0.1181713557886481
"Belleville Population Center, ON, Canada",0.3550297701073229,0.5011187008820025,0.14385152901067472
"Sarnia Population Center, ON, Canada",0.3334307095857903,0.535763608514492,0.1308056818997178
"Airdrie Population Center, AB, Canada",0.3204821156664519,0.5680093191743991,0.11150856515914882
"Drummondville Population Center, QC, Canada",0.5162605614214663,0.34257228437008796,0.1411671542084459
"Welland - Pelham Population Center, ON, Canada",0.3228211248516485,0.5528137034273058,0.12436517172104568
"Fort McMurray Population Center, AB, Canada",0.39195421438891515,0.5093246570026946,0.0987211286083902
"Prince George Population Center, BC, Canada",0.4143066799657601,0.46246112470659345,0.12323219532764658
"Sault Ste. Marie Population Center, ON, Canada",0.35915407609024375,0.5050468333792425,0.13579909053051384
"Fredericton Population Center, NB, Canada",0.40140625416366466,0.48141540702035446,0.11717833881598085
"Medicine Hat Population Center, AB, Canada",0.31432599980755566,0.5514778773329339,0.13419612285951046
"Grande Prairie Population Center, AB, Canada",0.4150291535827295,0.46800016599841576,0.11697068041885475
"Granby Population Center, QC, Canada",0.47417580626685746,0.3665818956019171,0.1592422981312254
"Saint John Population Center, NB, Canada",0.40705307408632924,0.4526739414611453,0.1402729844525256
"Bowmanville - Newcastle Population Center, ON, Canada",0.32996975882497986,0.5576008679223716,0.11242937325264851
"Beloeil Population Center, QC, Canada",0.5015933793621608,0.36983103423914754,0.12857558639869165
"Charlottetown Population Center, PE, Canada",0.40568697862249586,0.4916682708115267,0.10264475056597745
"Vernon Population Center, BC, Canada",0.3094757312190791,0.5447603592779833,0.1457639095029376
"North Bay Population Center, ON, Canada",0.3850326260049483,0.4794282609719968,0.1355391130230549
"Saint-Hyacinthe Population Center, QC, Canada",0.49794744828171383,0.359423415367451,0.14262913635083518
"Brandon Population Center, MB, Canada",0.38855047831548856,0.5065643076011395,0.10488521408337208
"Joliette Population Center, QC, Canada",0.493565697865756,0.36015430570792323,0.1462799964263207
"Courtenay Population Center, BC, Canada",0.29932840211085887,0.5516655981027061,0.14900599978643517
"Cornwall Population Center, ON, Canada",0.36306988015069613,0.49085830068500624,0.14607181916429757
"Victoriaville Population Center, QC, Canada",0.49820160586004364,0.35501645562846657,0.1467819385114899
"Woodstock Population Center, ON, Canada",0.32576468511236645,0.5440061689872587,0.13022914590037485
"St. Thomas Population Center, ON, Canada",0.321133173791599,0.5370052060421158,0.14186162016628523
"Chatham Population Center, ON, Canada",0.34617069143282525,0.5168666816472189,0.1369626269199559
"Georgetown Population Center, ON, Canada",0.3118720967898702,0.5925808046158985,0.09554709859423126
"Salaberry-de-Valleyfield Population Center, QC, Canada",0.5073380732704332,0.3439437315402829,0.1487181951892838
"Spruce Grove Population Center, AB, Canada",0.3402666796817084,0.5402151418049035,0.11951817851338817
"Shawinigan Population Center, QC, Canada",0.4853630743676531,0.3555854039642938,0.1590515216680532
"Rimouski Population Center, QC, Canada",0.5504769070960787,0.32454833833375224,0.12497475457016893
"Bradford Population Center, ON, Canada",0.31126504330797355,0.5985392974299606,0.09019565926206587
"Campbell River Population Center, BC, Canada",0.31093276178698914,0.5456450980677168,0.143422140145294
"Penticton Population Center, BC, Canada",0.30438083326318327,0.530464205027303,0.16515496170951385
"Prince Albert Population Center, SK, Canada",0.4556431066610937,0.4314682884850865,0.11288860485381978
"Stouffville Population Center, ON, Canada",0.2716866231214788,0.6506136908057555,0.07769968607276567
"Sorel Population Center, QC, Canada",0.4766332721696025,0.38224800011227944,0.14111872771811806
"Mission Population Center, BC, Canada",0.35125106425035585,0.5277169650094132,0.12103197074023093
"Leamington Population Center, ON, Canada",0.30104520784991523,0.5892738988076563,0.10968089334242838
"Orangeville Population Center, ON, Canada",0.3355821231676638,0.5471549970171383,0.1172628798151978
"Leduc Population Center, AB, Canada",0.33479444474742026,0.5398152255545319,0.12539032969804784
"Orillia Population Center, ON, Canada",0.35859551538327816,0.48461672171041204,0.15678776290630983
"Stratford Population Center, ON, Canada",0.33070253060196403,0.5342202259521102,0.13507724344592587
"Moose Jaw Population Center, SK, Canada",0.3318994427481704,0.5353331033858428,0.13276745386598687
"Cochrane Population Center, AB, Canada",0.27324699783192713,0.6144507286554414,0.11230227351263149
"Lloydminster Population Center, SK-AB, Canada",0.37797679625483455,0.5171992672501523,0.10482393649501316
"Cape Breton - Sydney Population Center, NS, Canada",0.41316330101296234,0.459518281964681,0.12731841702235674
"Okotoks Population Center, AB, Canada",0.2825061043770918,0.6093870770328189,0.10810681859008925
"Innisfil Population Center, ON, Canada",0.33240385584658483,0.541070613099653,0.12652553105376227
"Timmins Population Center, ON, Canada",0.3976158889741059,0.47528004372734833,0.12710406729854581
"Saint-Georges Population Center, QC, Canada",0.4982365464032775,0.3584874387546604,0.14327601484206215
"Parksville Population Center, BC, Canada",0.19694853627250483,0.6605097108785423,0.14254175284895282
"Keswick - Elmhurst Beach Population Center, ON, Canada",0.35189831774628644,0.5195092626399319,0.12859241961378168
"Fort Saskatchewan Population Center, AB, Canada",0.3451453327486762,0.5451629548942982,0.10969171235702548
"Bolton Population Center, ON, Canada",0.33057019219787465,0.5834124111520169,0.08601739665010852
"Midland Population Center, ON, Canada",0.33049849884893895,0.5221715750657401,0.1473299260853209
"Val-d'Or Population Center, QC, Canada",0.5580084343448258,0.320854947651088,0.1211366180040861
