longname,Architecture and engineering occupations %,Computer and mathematical occupations %,"Life, physical, and social science occupations %","Arts, design, entertainment, sports, and media occupations %",Community and social service occupations %,"Educational instruction, and library occupations %",Legal occupations %,Health diagnosing and treating practitioners and other technical occupations %,Health technologists and technicians %,Business and financial operations occupations %,Management occupations %,Construction and extraction occupations %,"Farming, fishing, and forestry occupations %","Installation, maintenance, and repair occupations %",Material moving occupations %,Production occupations %,Transportation occupations %,Office and administrative support occupations %,Sales and related occupations %,Building and grounds cleaning and maintenance occupations %,Food preparation and serving related occupations %,Healthcare support occupations %,Personal care and service occupations %,"Firefighting and prevention, and other protective service workers including supervisors %",Law enforcement workers including supervisors %
"Uttar Pradesh, India",,,,,,,,,,,,,,,,,,,,,,,,,
"Mahārāshtra, India",,,,,,,,,,,,,,,,,,,,,,,,,
"Punjab, Pakistan",,,,,,,,,,,,,,,,,,,,,,,,,
"Bihār, India",,,,,,,,,,,,,,,,,,,,,,,,,
"Guangdong Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"West Bengal, India",,,,,,,,,,,,,,,,,,,,,,,,,
"Shandong Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"Henan Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"Jiangsu Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"Tamil Nādu, India",,,,,,,,,,,,,,,,,,,,,,,,,
"Madhya Pradesh, India",,,,,,,,,,,,,,,,,,,,,,,,,
"Rājasthān, India",,,,,,,,,,,,,,,,,,,,,,,,,
"Hebei Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"Sichuan Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"Karnātaka, India",,,,,,,,,,,,,,,,,,,,,,,,,
"Gujarāt, India",,,,,,,,,,,,,,,,,,,,,,,,,
"Hunan Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"Anhui Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"Zhejiang Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"England, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,
"Hubei Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"Jawa Barat, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,
"Andhra Pradesh, India",,,,,,,,,,,,,,,,,,,,,,,,,
"Sindh, Pakistan",,,,,,,,,,,,,,,,,,,,,,,,,
"Jiangxi Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"Yunnan Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"Guangxi Zhuangzu Zizhiqu, China",,,,,,,,,,,,,,,,,,,,,,,,,
"Dhaka, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,
"Liaoning Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"São Paulo, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,
"Odisha, India",,,,,,,,,,,,,,,,,,,,,,,,,
"Oromīya, Ethiopia",,,,,,,,,,,,,,,,,,,,,,,,,
"Kerala, India",,,,,,,,,,,,,,,,,,,,,,,,,
"Heilongjiang Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"California, USA",0.024516027047413354,0.03961301949408095,0.01237672892462102,0.02928742447480581,0.01711858103762814,0.05553386634435069,0.012418079300224028,0.03590848695330202,0.01656474368000848,0.05736209088087693,0.11023840323016759,0.0482515486374125,0.014252283393630752,0.026092259049133117,0.037555277120218174,0.04624452001836753,0.0352569827419516,0.10734523151324409,0.09676777287354094,0.03830208397518977,0.054177057405455725,0.03634172697740863,0.02768810337533244,0.012613301429508868,0.008174400122127199
"Shanxi Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"Jawa Timur, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,
"Shaanxi Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"Jhārkhand, India",,,,,,,,,,,,,,,,,,,,,,,,,
"Telangāna, India",,,,,,,,,,,,,,,,,,,,,,,,,
"Fujian Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"Khyber Pakhtunkhwa, Pakistan",,,,,,,,,,,,,,,,,,,,,,,,,
"Assam, India",,,,,,,,,,,,,,,,,,,,,,,,,
"Guizhou Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,
"Chattogram, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,
"Jawa Tengah, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,
"Chongqing Shi, China",,,,,,,,,,,,,,,,,,,,,,,,,
