longname,Poverty %,LICO-AT %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Household income < C$50k %,Household income C$50k - C$100k %,Household income > C$100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %,Individual income < C$50k %,Individual income C$50k - C$100k %,Individual income > C$100k %
"Uttar Pradesh, India",,,,,,,,,,,,,,
"Mahārāshtra, India",,,,,,,,,,,,,,
"Punjab, Pakistan",,,,,,,,,,,,,,
"Bihār, India",,,,,,,,,,,,,,
"Guangdong Sheng, China",,,,,,,,,,,,,,
"West Bengal, India",,,,,,,,,,,,,,
"Shandong Sheng, China",,,,,,,,,,,,,,
"Henan Sheng, China",,,,,,,,,,,,,,
"Jiangsu Sheng, China",,,,,,,,,,,,,,
"Tamil Nādu, India",,,,,,,,,,,,,,
"Madhya Pradesh, India",,,,,,,,,,,,,,
"Rājasthān, India",,,,,,,,,,,,,,
"Hebei Sheng, China",,,,,,,,,,,,,,
"Sichuan Sheng, China",,,,,,,,,,,,,,
"Karnātaka, India",,,,,,,,,,,,,,
"Gujarāt, India",,,,,,,,,,,,,,
"Hunan Sheng, China",,,,,,,,,,,,,,
"Anhui Sheng, China",,,,,,,,,,,,,,
"Zhejiang Sheng, China",,,,,,,,,,,,,,
"England, United Kingdom",,,,,,,,,,,,,,
"Hubei Sheng, China",,,,,,,,,,,,,,
"Jawa Barat, Indonesia",,,,,,,,,,,,,,
"Andhra Pradesh, India",,,,,,,,,,,,,,
"Sindh, Pakistan",,,,,,,,,,,,,,
"Jiangxi Sheng, China",,,,,,,,,,,,,,
"Yunnan Sheng, China",,,,,,,,,,,,,,
"Guangxi Zhuangzu Zizhiqu, China",,,,,,,,,,,,,,
"Dhaka, Bangladesh",,,,,,,,,,,,,,
"Liaoning Sheng, China",,,,,,,,,,,,,,
"São Paulo, Brazil",,,,,,,,,,,,,,
"Odisha, India",,,,,,,,,,,,,,
"Oromīya, Ethiopia",,,,,,,,,,,,,,
"Kerala, India",,,,,,,,,,,,,,
"Heilongjiang Sheng, China",,,,,,,,,,,,,,
"California, USA",0.1225070926410038,,0.30464197005995125,0.27003286001456017,0.4253251699254885,,,,0.612984009026689,0.22448453931450038,0.16253145165881056,,,
"Shanxi Sheng, China",,,,,,,,,,,,,,
"Jawa Timur, Indonesia",,,,,,,,,,,,,,
"Shaanxi Sheng, China",,,,,,,,,,,,,,
"Jhārkhand, India",,,,,,,,,,,,,,
"Telangāna, India",,,,,,,,,,,,,,
"Fujian Sheng, China",,,,,,,,,,,,,,
"Khyber Pakhtunkhwa, Pakistan",,,,,,,,,,,,,,
"Assam, India",,,,,,,,,,,,,,
"Guizhou Sheng, China",,,,,,,,,,,,,,
"Chattogram, Bangladesh",,,,,,,,,,,,,,
"Jawa Tengah, Indonesia",,,,,,,,,,,,,,
"Chongqing Shi, China",,,,,,,,,,,,,,
"Punjab, India",,,,,,,,,,,,,,
"Shanghai Shi, China",,,,,,,,,,,,,,
"Haryāna, India",,,,,,,,,,,,,,
"Texas, USA",0.14030571159859595,,0.37407099653596254,0.29931680244472214,0.32661220101931526,,,,0.6514849513611419,0.2317430408913341,0.11677200774752397,,,
"Chhattīsgarh, India",,,,,,,,,,,,,,
"Jilin Sheng, China",,,,,,,,,,,,,,
"Nei Mongol Zizhiqu, China",,,,,,,,,,,,,,
"Gansu Sheng, China",,,,,,,,,,,,,,
"Xinjiang Uygur Zizhiqu, China",,,,,,,,,,,,,,
"Āmara, Ethiopia",,,,,,,,,,,,,,
"Taiwan, China",,,,,,,,,,,,,,
"Beijing Shi, China",,,,,,,,,,,,,,
"Florida, USA",0.1311516951044077,,0.4072309239897974,0.3098914239075035,0.2828776521026991,,,,0.6973408040545735,0.20704520960785924,0.09561398633756722,,,
"Minas Gerais, Brazil",,,,,,,,,,,,,,
"Delhi, India",,,,,,,,,,,,,,
"Rajshahi, Bangladesh",,,,,,,,,,,,,,
"New York, USA",0.13450409707657965,,0.35098211467211143,0.2660053455297816,0.38301253979810695,,,,0.6063857474567709,0.2449971849479302,0.148617067595299,,,
"YeDebub Bihēroch Bihēreseboch na Hizboch, Ethiopia",,,,,,,,,,,,,,
"Rangpur, Bangladesh",,,,,,,,,,,,,,
"Nordrhein-Westfalen, Germany",,,,,,,,,,,,,,
"Buenos Aires, Argentina",,,,,,,,,,,,,,
"Rio de Janeiro, Brazil",,,,,,,,,,,,,,
"Khulna, Bangladesh",,,,,,,,,,,,,,
"México, Mexico",,,,,,,,,,,,,,
"Tianjin Shi, China",,,,,,,,,,,,,,
"Gauteng, South Africa",,,,,,,,,,,,,,
