longname,Mean high temp,Mean high heat index,Mean high dewpt,High temperature Above 90°F %,High temperature Between 40 and 90°F %,High temperature Below 40°F %,Humid days (dewpt > 70°F) %,Non-humid days (50°F < dewpt < 70°F) %,Dry days (dewpt < 50°F) %,Mean sunny hours,Rainfall,Snowfall [rain-equivalent],High windspeed (>10mph) days %,Mean high temperature in summer,Mean high temperature in winter,Mean high temperature in fall,Mean high temperature in spring
"Uttar Pradesh, India",,,,,,,,,,,,,,,,,
"Mahārāshtra, India",,,,,,,,,,,,,,,,,
"Punjab, Pakistan",,,,,,,,,,,,,,,,,
"Bihār, India",,,,,,,,,,,,,,,,,
"Guangdong Sheng, China",,,,,,,,,,,,,,,,,
"West Bengal, India",,,,,,,,,,,,,,,,,
"Shandong Sheng, China",,,,,,,,,,,,,,,,,
"Henan Sheng, China",,,,,,,,,,,,,,,,,
"Jiangsu Sheng, China",,,,,,,,,,,,,,,,,
"Tamil Nādu, India",,,,,,,,,,,,,,,,,
"Madhya Pradesh, India",,,,,,,,,,,,,,,,,
"Rājasthān, India",,,,,,,,,,,,,,,,,
"Hebei Sheng, China",,,,,,,,,,,,,,,,,
"Sichuan Sheng, China",,,,,,,,,,,,,,,,,
"Karnātaka, India",,,,,,,,,,,,,,,,,
"Gujarāt, India",,,,,,,,,,,,,,,,,
"Hunan Sheng, China",,,,,,,,,,,,,,,,,
"Anhui Sheng, China",,,,,,,,,,,,,,,,,
"Zhejiang Sheng, China",,,,,,,,,,,,,,,,,
"England, United Kingdom",,,,,,,,,,,,,,,,,
"Hubei Sheng, China",,,,,,,,,,,,,,,,,
"Jawa Barat, Indonesia",,,,,,,,,,,,,,,,,
"Andhra Pradesh, India",,,,,,,,,,,,,,,,,
"Sindh, Pakistan",,,,,,,,,,,,,,,,,
"Jiangxi Sheng, China",,,,,,,,,,,,,,,,,
"Yunnan Sheng, China",,,,,,,,,,,,,,,,,
"Guangxi Zhuangzu Zizhiqu, China",,,,,,,,,,,,,,,,,
"Dhaka, Bangladesh",,,,,,,,,,,,,,,,,
"Liaoning Sheng, China",,,,,,,,,,,,,,,,,
"São Paulo, Brazil",,,,,,,,,,,,,,,,,
"Odisha, India",,,,,,,,,,,,,,,,,
"Oromīya, Ethiopia",,,,,,,,,,,,,,,,,
"Kerala, India",,,,,,,,,,,,,,,,,
"Heilongjiang Sheng, China",,,,,,,,,,,,,,,,,
"California, USA",72.38808348346575,71.56501668219211,51.4735153420145,0.09579988604150383,0.9031132917896376,0.0010868221688455151,0.002614124619880152,0.6298570020005911,0.3675288733795195,7.899125373621553,0.440257176343242,0.005320345282546373,0.030638995657138547,83.83107690657422,62.2492791335156,70.30148399738053,72.66209867366506
"Shanxi Sheng, China",,,,,,,,,,,,,,,,,
"Jawa Timur, Indonesia",,,,,,,,,,,,,,,,,
"Shaanxi Sheng, China",,,,,,,,,,,,,,,,,
"Jhārkhand, India",,,,,,,,,,,,,,,,,
"Telangāna, India",,,,,,,,,,,,,,,,,
"Fujian Sheng, China",,,,,,,,,,,,,,,,,
"Khyber Pakhtunkhwa, Pakistan",,,,,,,,,,,,,,,,,
"Assam, India",,,,,,,,,,,,,,,,,
"Guizhou Sheng, China",,,,,,,,,,,,,,,,,
"Chattogram, Bangladesh",,,,,,,,,,,,,,,,,
"Jawa Tengah, Indonesia",,,,,,,,,,,,,,,,,
"Chongqing Shi, China",,,,,,,,,,,,,,,,,
"Punjab, India",,,,,,,,,,,,,,,,,
"Shanghai Shi, China",,,,,,,,,,,,,,,,,
"Haryāna, India",,,,,,,,,,,,,,,,,
"Texas, USA",78.6429093762441,81.84654683569936,60.461815919464094,0.24705878534653058,0.744802647402585,0.008138567250897101,0.33542889471557785,0.43151310110081426,0.23305800418359351,6.143840106923272,0.9325814233915855,0.004899360768666122,0.26313618151257245,92.63193725623492,64.58910922627712,73.6344585812935,82.98242702675711
"Chhattīsgarh, India",,,,,,,,,,,,,,,,,
"Jilin Sheng, China",,,,,,,,,,,,,,,,,
"Nei Mongol Zizhiqu, China",,,,,,,,,,,,,,,,,
"Gansu Sheng, China",,,,,,,,,,,,,,,,,
"Xinjiang Uygur Zizhiqu, China",,,,,,,,,,,,,,,,,
"Āmara, Ethiopia",,,,,,,,,,,,,,,,,
"Taiwan, China",,,,,,,,,,,,,,,,,
"Beijing Shi, China",,,,,,,,,,,,,,,,,
