longname,PW Density (r=250m),PW Density (r=500m),PW Density (r=2km),PW Density (r=4km)
"New York City Department Of Education, New York, USA",25254.570328839578,22263.96381252904,16095.702917790268,13737.409643898236
"Los Angeles Unified School District, California, USA",7725.37685575754,6467.8172496819825,5068.441839548229,4467.109312898918
"Puerto Rico Department of Education, Puerto Rico, USA",2852.222792376313,1849.593578400933,1192.0051838268703,968.3861281582409
"Chicago Public School District 299, Illinois, USA",9382.459364551263,8082.929262676255,5807.0209619299685,5032.39865956281
"Dade County School District, Florida, USA",5645.563363562936,4243.832680219945,2923.443488351833,2399.269602097857
"Clark County School District, Nevada, USA",4042.8453147969735,3065.8782581539294,2242.045557102654,1919.3430466416899
"Broward County School District, Florida, USA",4307.564626600776,2794.587285851318,2165.2784069013014,1957.3885790919105
"Philadelphia City School District, Pennsylvania, USA",9380.12288472726,8188.183769761317,6203.439194588998,5082.142389736397
"Palm Beach County School District, Florida, USA",3201.107116975696,1997.8126874874379,1434.1715172935071,1245.953489349529
"Houston Independent School District, Texas, USA",4344.673592984817,3121.9418980201344,2288.689747388231,2100.2904485952545
"Hillsborough County School District, Florida, USA",3171.684313686288,1818.6509394299894,1246.3529702274877,1076.7275077411637
"Hawaii Department of Education, Hawaii, USA",5130.795267496907,3508.652614251784,1967.3189039583551,1252.6762311575246
"Orange County School District, Florida, USA",3665.464443643509,2038.0630476649326,1353.8955970851919,1176.490152270796
"Fairfax County Public Schools, Virginia, USA",4158.02105719593,2577.7206929226754,1802.705710028383,1602.2778851684388
"Wake County Schools, North Carolina, USA",2399.604192929157,1370.9913645498361,917.458592945224,806.158157431754
"Charlotte-Mecklenburg Schools, North Carolina, USA",2798.4106386951944,1571.5811446056268,1108.7200041106369,1000.2129524364691
"Dallas Independent School District, Texas, USA",3948.6805907279486,2901.871988112889,1992.9411078199619,1716.4761134960502
"San Diego City Unified School District, California, USA",6082.365125679199,4327.5969010369545,2990.507755935309,2434.715172365549
"Montgomery County Public Schools, Maryland, USA",4196.308507055268,2896.633455199948,2031.6713451168239,1786.4594432493943
"Duval County School District, Florida, USA",3367.8393530014982,1621.293543240733,1025.2100943636278,876.0954866725787
"Prince George's County Public Schools, Maryland, USA",4293.022982486717,2567.1982732118904,1773.626199825902,1590.3990033022353
"Pinellas County School District, Florida, USA",2575.7756846327384,1819.7156538908175,1383.3004663871918,1230.0018293158896
"Gwinnett County School District, Georgia, USA",3516.0679528532796,1517.8100531481855,1049.6825704024309,963.8989876659468
"San Francisco Unified School District, California, USA",13174.550465078695,11823.602150780227,8675.304387927148,6555.965398841643
"Baltimore County Public Schools, Maryland, USA",3485.99904564974,2240.684045531546,1497.362302052438,1262.4821153266762
"Jefferson County School District, Kentucky, USA",2320.855531176554,1674.7689717198575,1239.4094478883228,1081.4746652278225
"Lee County School District, Florida, USA",1886.34097723824,1045.3591593308788,729.878875351552,616.7917263592135
"Seattle Public Schools, Washington, USA",6734.3384483251975,5721.469501185163,3988.493637999924,2923.9166467174978
"Austin Independent School District, Texas, USA",3848.400732498391,2681.862321266607,1866.7754225143804,1651.038890673215
