longname
"North Norfolk Municipality, Division No. 8, Manitoba, Canada"
"Montague Township, Lanark County, Ontario, Canada"
"Simonds Parish, Saint John County, New Brunswick, Canada"
"Port Hardy District Municipality, Mount Waddington Regional district, British Columbia, Canada"
"Bonnechere Valley Township, Renfrew County, Ontario, Canada"
"Central Kootenay E Regional District Electoral Area, Central Kootenay Regional district, British Columbia, Canada"
"Danville Ville, Les Sources CRM, Quebec, Canada"
"Saint-Ambroise Municipalité, Le Saguenay-et-son-Fjord CDR, Quebec, Canada"
"Sunshine Coast E Regional District Electoral Area, Sunshine Coast Regional district, British Columbia, Canada"
"Smoky Lake County Municipal District, Division No. 12, Alberta, Canada"
"Cariboo B Regional District Electoral Area, Cariboo Regional district, British Columbia, Canada"
"Sainte-Anne-des-Lacs Paroisse, Les Pays-d'en-Haut CRM, Quebec, Canada"
"Alexander Rural Municipality, Division No. 1, Manitoba, Canada"
"Grand Valley Town, Dufferin County, Ontario, Canada"
"L'Ange-Gardien Municipalité, La Côte-de-Beaupré CRM, Quebec, Canada"
"East Angus Ville, Le Haut-Saint-François CRM, Quebec, Canada"
"Highlands East Municipality, Haliburton County, Ontario, Canada"
"Saint-Adolphe-d'Howard Municipalité, Les Pays-d'en-Haut CRM, Quebec, Canada"
"Lantzville District Municipality, Nanaimo Regional district, British Columbia, Canada"
"Saint-Ferréol-les-Neiges Municipalité, La Côte-de-Beaupré CRM, Quebec, Canada"
"Claresholm Town, Division No. 3, Alberta, Canada"
"L'Islet Municipalité, L'Islet CRM, Quebec, Canada"
"Woodlands Rural Municipality, Division No. 14, Manitoba, Canada"
"Saint-Faustin--Lac-Carré Municipalité, Les Laurentides CRM, Quebec, Canada"
"Perth South Township, Perth County, Ontario, Canada"
"Baie-D'Urfé Ville, Montréal Territory, Quebec, Canada"
"Richmond, Subd. A Subdivision of County Municipality, Richmond County, Nova Scotia, Canada"
"Colchester, Subd. A Subdivision of County Municipality, Colchester County, Nova Scotia, Canada"
"Lake of Bays Township, Muskoka District municipality, Ontario, Canada"
"Maniwaki Ville, La Vallée-de-la-Gatineau CRM, Quebec, Canada"
"Lamont County Municipal District, Division No. 10, Alberta, Canada"
"Mistissini Terres réservées aux Cris, Nord-du-Québec CDR, Quebec, Canada"
"Cardston Town, Division No. 3, Alberta, Canada"
"Haut-Madawaska Rural Community, Madawaska County, New Brunswick, Canada"
"White City Town, Division No. 6, Saskatchewan, Canada"
"Flagstaff County Municipal District, Division No. 7, Alberta, Canada"
"New Richmond Ville, Bonaventure CRM, Quebec, Canada"
"Saint-Tite Ville, Mékinac CRM, Quebec, Canada"
"Warwick Township, Lambton County, Ontario, Canada"
"Pincher Creek Town, Division No. 3, Alberta, Canada"
"Alnwick Parish, Northumberland County, New Brunswick, Canada"
"Fraser-Fort George C Regional District Electoral Area, Fraser-Fort George Regional district, British Columbia, Canada"
"Crossfield Town, Division No. 6, Alberta, Canada"
"Dunham Ville, Brome-Missisquoi CRM, Quebec, Canada"
"Saint-Prosper Municipalité, Les Etchemins CRM, Quebec, Canada"
"Cap-Santé Ville, Portneuf CRM, Quebec, Canada"
"Morris-Turnberry Municipality, Huron County, Ontario, Canada"
"Siksika 146 Indian Reserve, Division No. 5, Alberta, Canada"
"Mulmur Township, Dufferin County, Ontario, Canada"
"Lac du Bonnet Rural Municipality, Division No. 1, Manitoba, Canada"
"Saint-André-Avellin Municipalité, Papineau CRM, Quebec, Canada"
"Channel-Port aux Basques Town, Division No. 3, Newfoundland and Labrador, Canada"
"Westville Town, Pictou County, Nova Scotia, Canada"
"Cowichan Valley D Regional District Electoral Area, Cowichan Valley Regional district, British Columbia, Canada"
"Saint-Pascal Ville, Kamouraska CRM, Quebec, Canada"
"Studholm Parish, Kings County, New Brunswick, Canada"
"Sainte-Claire Municipalité, Bellechasse CRM, Quebec, Canada"
"Pasadena Town, Division No. 5, Newfoundland and Labrador, Canada"
"Sunshine Coast D Regional District Electoral Area, Sunshine Coast Regional district, British Columbia, Canada"
"East Kootenay F Regional District Electoral Area, East Kootenay Regional district, British Columbia, Canada"
"Eskasoni 3 Indian Reserve, Cape Breton County, Nova Scotia, Canada"
"Saint-Michel Municipalité, Les Jardins-de-Napierville CRM, Quebec, Canada"
"Killarney - Turtle Mountain Rural Municipality, Division No. 5, Manitoba, Canada"
"Bulkley-Nechako F Regional District Electoral Area, Bulkley-Nechako Regional district, British Columbia, Canada"
"Central Kootenay J Regional District Electoral Area, Central Kootenay Regional district, British Columbia, Canada"
"Saint-Thomas Municipalité, Joliette CRM, Quebec, Canada"
"Penhold Town, Division No. 8, Alberta, Canada"
"Piedmont Municipalité, Les Pays-d'en-Haut CRM, Quebec, Canada"
"West River Rural Municipality, Queens County, Prince Edward Island, Canada"
"Forty Mile County No. 8 Municipal District, Division No. 1, Alberta, Canada"
"Fraser-Fort George A Regional District Electoral Area, Fraser-Fort George Regional district, British Columbia, Canada"
"Georgian Bay Township, Muskoka District municipality, Ontario, Canada"
"Prince Albert No. 461 Rural Municipality, Division No. 15, Saskatchewan, Canada"
"Saint-Maurice Paroisse, Francheville CDR, Quebec, Canada"
"Blind River Town, Algoma District, Ontario, Canada"
"East Hawkesbury Township, Prescott and Russell United counties, Ontario, Canada"
"St. Theresa Point Indian Reserve, Division No. 22, Manitoba, Canada"
"Two Hills County No. 21 Municipal District, Division No. 10, Alberta, Canada"
"Pemberton Village, Squamish-Lillooet Regional district, British Columbia, Canada"
"Grande-Rivière Ville, Le Rocher-Percé CRM, Quebec, Canada"
"Opportunity No. 17 Municipal District, Division No. 17, Alberta, Canada"
"Salisbury Parish, Westmorland County, New Brunswick, Canada"
"Ascot Corner Municipalité, Le Haut-Saint-François CRM, Quebec, Canada"
"Sainte-Marguerite-du-Lac-Masson Ville, Les Pays-d'en-Haut CRM, Quebec, Canada"
"Saint-Sulpice Paroisse, L'Assomption CRM, Quebec, Canada"
"Malartic Ville, La Vallée-de-l'Or CRM, Quebec, Canada"
"Powassan Municipality, Parry Sound District, Ontario, Canada"
"Cartier Rural Municipality, Division No. 10, Manitoba, Canada"
"Nanaimo C Regional District Electoral Area, Nanaimo Regional district, British Columbia, Canada"
"Saint-Alphonse-de-Granby Municipalité, La Haute-Yamaska CRM, Quebec, Canada"
"Saint-Alphonse-Rodriguez Municipalité, Matawinie CRM, Quebec, Canada"
"Havre-Saint-Pierre Municipalité, Minganie--Le Golfe-du-Saint-Laurent CDR, Quebec, Canada"
"Portneuf Ville, Portneuf CRM, Quebec, Canada"
"Columbia-Shuswap A Regional District Electoral Area, Columbia-Shuswap Regional district, British Columbia, Canada"
"Lake Cowichan Town, Cowichan Valley Regional district, British Columbia, Canada"
"Thompson-Nicola L (Grasslands) Regional District Electoral Area, Thompson-Nicola Regional district, British Columbia, Canada"
"Bifrost-Riverton Municipality, Division No. 18, Manitoba, Canada"
"Bright Parish, York County, New Brunswick, Canada"
"Beausejour Town, Division No. 12, Manitoba, Canada"
"Saint-Jean-Port-Joli Municipalité, L'Islet CRM, Quebec, Canada"
"Fort Macleod Town, Division No. 3, Alberta, Canada"
"Wellington Parish, Kent County, New Brunswick, Canada"
"Atholville Village, Restigouche County, New Brunswick, Canada"
"Placentia Town, Division No. 1, Newfoundland and Labrador, Canada"
"Lewisporte Town, Division No. 8, Newfoundland and Labrador, Canada"
"Saint-Isidore Municipalité, La Nouvelle-Beauce CRM, Quebec, Canada"
"Mackenzie District Municipality, Fraser-Fort George Regional district, British Columbia, Canada"
"Saint-Côme--Linière Municipalité, Beauce-Sartigan CRM, Quebec, Canada"
"Buckland No. 491 Rural Municipality, Division No. 15, Saskatchewan, Canada"
"North Okanagan B Regional District Electoral Area, North Okanagan Regional district, British Columbia, Canada"
"WestLake-Gladstone Municipality, Division No. 8, Manitoba, Canada"
"Compton Municipalité, Coaticook CRM, Quebec, Canada"
"Richmond Ville, Le Val-Saint-François CRM, Quebec, Canada"
"Samson 137 Indian Reserve, Division No. 8, Alberta, Canada"
"Sainte-Mélanie Municipalité, Joliette CRM, Quebec, Canada"
"Shuniah Municipality, Thunder Bay District, Ontario, Canada"
"Okanagan (Part) 1 Indian Reserve, North Okanagan Regional district, British Columbia, Canada"
"Pincher Creek No. 9 Municipal District, Division No. 3, Alberta, Canada"
"Sables-Spanish Rivers Township, Sudbury District, Ontario, Canada"
"Kootenay Boundary D / Rural Grand Forks Regional District Electoral Area, Kootenay Boundary Regional district, British Columbia, Canada"
"Dalhousie Town, Restigouche County, New Brunswick, Canada"
"Saint-Gabriel-de-Valcartier Municipalité, La Jacques-Cartier CRM, Quebec, Canada"
"Gibbons Town, Division No. 11, Alberta, Canada"
"Port Hawkesbury Town, Inverness County, Nova Scotia, Canada"
"Timiskaming, Unorganized, West Part Unorganized, Timiskaming District, Ontario, Canada"
"Kingston Parish, Kings County, New Brunswick, Canada"
"Cumberland, Subd. A Subdivision of County Municipality, Cumberland County, Nova Scotia, Canada"
"Columbia-Shuswap F Regional District Electoral Area, Columbia-Shuswap Regional district, British Columbia, Canada"
"Bonavista Town, Division No. 7, Newfoundland and Labrador, Canada"
"Horton Township, Renfrew County, Ontario, Canada"
"Saint-Jean-Baptiste Municipalité, La Vallée-du-Richelieu CRM, Quebec, Canada"
"Hay River Town, Region 5 Region, Northwest Territories, Canada"
"Inverness, Subd. C Subdivision of County Municipality, Inverness County, Nova Scotia, Canada"
"Notre-Dame-de-Lourdes Municipalité, Joliette CRM, Quebec, Canada"
"Marathon Town, Thunder Bay District, Ontario, Canada"
"Inuvik Town, Region 1 Region, Northwest Territories, Canada"
"Mont-Saint-Grégoire Municipalité, Le Haut-Richelieu CRM, Quebec, Canada"
"Merrickville-Wolford Village, Leeds and Grenville United counties, Ontario, Canada"
"Melancthon Township, Dufferin County, Ontario, Canada"
"Val-Morin Municipalité, Les Laurentides CRM, Quebec, Canada"
"Virden Town, Division No. 6, Manitoba, Canada"
"Trois-Pistoles Ville, Les Basques CRM, Quebec, Canada"
"Carman Town, Division No. 3, Manitoba, Canada"
"North Algona Wilberforce Township, Renfrew County, Ontario, Canada"
"Saint-Christophe-d'Arthabaska Paroisse, Arthabaska CRM, Quebec, Canada"
"Pictou Town, Pictou County, Nova Scotia, Canada"
"Cap-Saint-Ignace Municipalité, Montmagny CRM, Quebec, Canada"
"Percé Ville, Le Rocher-Percé CRM, Quebec, Canada"
"Kensington, Part 1 Fire District, Prince County, Prince Edward Island, Canada"
"Hillsburg-Roblin-Shell River Municipality, Division No. 16, Manitoba, Canada"
"Tzeachten 13 Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"Thurso Ville, Papineau CRM, Quebec, Canada"
"Bishop's Falls Town, Division No. 6, Newfoundland and Labrador, Canada"
"Clermont Ville, Charlevoix-Est CRM, Quebec, Canada"
"Garden Hill First Nation Indian Reserve, Division No. 22, Manitoba, Canada"
"Peguis 1B Indian Reserve, Division No. 19, Manitoba, Canada"
"Houston District Municipality, Bulkley-Nechako Regional district, British Columbia, Canada"
"Annapolis, Subd. D Subdivision of County Municipality, Annapolis County, Nova Scotia, Canada"
"Morris Rural Municipality, Division No. 3, Manitoba, Canada"
"Saint-André-d'Argenteuil Municipalité, Argenteuil CRM, Quebec, Canada"
"Athens Township, Leeds and Grenville United counties, Ontario, Canada"
"Thorhild County Municipal District, Division No. 13, Alberta, Canada"
"Three Hills Town, Division No. 5, Alberta, Canada"
"Sunshine Coast A Regional District Electoral Area, Sunshine Coast Regional district, British Columbia, Canada"
"Saint-Liboire Municipalité, Les Maskoutains CRM, Quebec, Canada"
"Paspébiac Ville, Bonaventure CRM, Quebec, Canada"
"Enderby City, North Okanagan Regional district, British Columbia, Canada"
"Saint-Anaclet-de-Lessard Paroisse, Rimouski-Neigette CRM, Quebec, Canada"
"Minburn County No. 27 Municipal District, Division No. 10, Alberta, Canada"
"Stoke Municipalité, Le Val-Saint-François CRM, Quebec, Canada"
"Adelaide-Metcalfe Township, Middlesex County, Ontario, Canada"
"North Cypress-Langford Municipality, Division No. 7, Manitoba, Canada"
"Clear Hills Municipal District, Division No. 17, Alberta, Canada"
"Kootenay Boundary E / West Boundary Regional District Electoral Area, Kootenay Boundary Regional district, British Columbia, Canada"
"Saint-Alexis-des-Monts Paroisse, Maskinongé CRM, Quebec, Canada"
"Saint-David-de-Falardeau Municipalité, Le Saguenay-et-son-Fjord CDR, Quebec, Canada"
"Admaston/Bromley Township, Renfrew County, Ontario, Canada"
"Normandin Ville, Maria-Chapdelaine CRM, Quebec, Canada"
"Kitimat-Stikine C (Part 1) Regional District Electoral Area, Kitimat-Stikine Regional district, British Columbia, Canada"
"Rankin Inlet Hamlet, Kivalliq Region, Nunavut, Canada"
"Hampton Parish, Kings County, New Brunswick, Canada"
"Beaumont Municipalité, Bellechasse CRM, Quebec, Canada"
"Springdale Town, Division No. 8, Newfoundland and Labrador, Canada"
"Tisdale Town, Division No. 14, Saskatchewan, Canada"
"Saint-Mathieu-de-Beloeil Municipalité, La Vallée-du-Richelieu CRM, Quebec, Canada"
"Alberni-Clayoquot E Regional District Electoral Area, Alberni-Clayoquot Regional district, British Columbia, Canada"
"Saint-Gilles Municipalité, Lotbinière CRM, Quebec, Canada"
"North Okanagan D Regional District Electoral Area, North Okanagan Regional district, British Columbia, Canada"
"Sunshine Coast B Regional District Electoral Area, Sunshine Coast Regional district, British Columbia, Canada"
"Lorne Municipality, Division No. 4, Manitoba, Canada"
"Adstock Municipalité, Les Appalaches CRM, Quebec, Canada"
"Saint-Bruno Municipalité, Lac-Saint-Jean-Est CRM, Quebec, Canada"
"Sudbury, Unorganized, North Part Unorganized, Sudbury District, Ontario, Canada"
"Saint-Marc-des-Carrières Ville, Portneuf CRM, Quebec, Canada"
"Capilano 5 Indian Reserve, Greater Vancouver Regional district, British Columbia, Canada"
"Central Okanagan West Regional District Electoral Area, Central Okanagan Regional district, British Columbia, Canada"
"Princeton Town, Okanagan-Similkameen Regional district, British Columbia, Canada"
"Forestville Ville, La Haute-Côte-Nord CRM, Quebec, Canada"
"Ste. Anne Town, Division No. 2, Manitoba, Canada"
"Ange-Gardien Municipalité, Rouville CRM, Quebec, Canada"
"Sainte-Anne-de-Beaupré Ville, La Côte-de-Beaupré CRM, Quebec, Canada"
"Saint-Paul-d'Abbotsford Municipalité, Rouville CRM, Quebec, Canada"
"Lac-des-Écorces Municipalité, Antoine-Labelle CRM, Quebec, Canada"
"Laurentian Hills Town, Renfrew County, Ontario, Canada"
"Dégelis Ville, Témiscouata CRM, Quebec, Canada"
"Grenville-sur-la-Rouge Municipalité, Argenteuil CRM, Quebec, Canada"
"North Kawartha Township, Peterborough County, Ontario, Canada"
"Sainte-Marie-Madeleine Paroisse, Les Maskoutains CRM, Quebec, Canada"
"Cariboo D Regional District Electoral Area, Cariboo Regional district, British Columbia, Canada"
"Coalhurst Town, Division No. 2, Alberta, Canada"
"Arviat Hamlet, Kivalliq Region, Nunavut, Canada"
"Greater Madawaska Township, Renfrew County, Ontario, Canada"
"Lesser Slave River No. 124 Municipal District, Division No. 17, Alberta, Canada"
"Sainte-Luce Municipalité, La Mitis CRM, Quebec, Canada"
"Division No. 19, Unorganized, Division No. 19, Manitoba, Canada"
"Kingsclear Parish, York County, New Brunswick, Canada"
"Division No. 1, Subd. E, Division No. 1, Newfoundland and Labrador, Canada"
"French River / Rivière des Français Municipality, Sudbury District, Ontario, Canada"
"Enniskillen Township, Lambton County, Ontario, Canada"
"Stanstead Ville, Memphrémagog CRM, Quebec, Canada"
"Fairview Town, Division No. 19, Alberta, Canada"
"Yamachiche Municipalité, Maskinongé CRM, Quebec, Canada"
"New Maryland Parish, York County, New Brunswick, Canada"
"Saint-Gabriel Ville, D'Autray CRM, Quebec, Canada"
"Vanscoy No. 345 Rural Municipality, Division No. 12, Saskatchewan, Canada"
"Harbour Grace Town, Division No. 1, Newfoundland and Labrador, Canada"
"East Garafraxa Township, Dufferin County, Ontario, Canada"
"Senneterre Ville, La Vallée-de-l'Or CRM, Quebec, Canada"
"Botwood Town, Division No. 6, Newfoundland and Labrador, Canada"
"Division No. 8, Subd. L, Division No. 8, Newfoundland and Labrador, Canada"
"Saint-Isidore Paroisse, Roussillon CRM, Quebec, Canada"
"Labelle Municipalité, Les Laurentides CRM, Quebec, Canada"
"Maria Municipalité, Avignon CRM, Quebec, Canada"
"Saint-Prime Municipalité, Le Domaine-du-Roy CRM, Quebec, Canada"
"Athabasca Town, Division No. 13, Alberta, Canada"
"Swan Valley West Municipality, Division No. 20, Manitoba, Canada"
"Cocagne Rural Community, Kent County, New Brunswick, Canada"
"Saint-Anicet Municipalité, Le Haut-Saint-Laurent CRM, Quebec, Canada"
"Elkford District Municipality, East Kootenay Regional district, British Columbia, Canada"
"Wallace-Woodworth Rural Municipality, Division No. 6, Manitoba, Canada"
"Macamic Ville, Abitibi-Ouest CRM, Quebec, Canada"
"McDougall Municipality, Parry Sound District, Ontario, Canada"
"Minnedosa Town, Division No. 15, Manitoba, Canada"
"Saint-Dominique Municipalité, Les Maskoutains CRM, Quebec, Canada"
"Sainte-Catherine-de-Hatley Municipalité, Memphrémagog CRM, Quebec, Canada"
"Indian Brook 14 Indian Reserve, Hants County, Nova Scotia, Canada"
"Bonaventure Ville, Bonaventure CRM, Quebec, Canada"
"Sainte-Anne-de-Sorel Municipalité, Pierre-De Saurel CRM, Quebec, Canada"
"Black Diamond Town, Division No. 6, Alberta, Canada"
"Wikwemikong Unceded Indian Reserve, Manitoulin District, Ontario, Canada"
"Wakefield Parish, Carleton County, New Brunswick, Canada"
"Ferme-Neuve Municipalité, Antoine-Labelle CRM, Quebec, Canada"
"Saint-Basile Ville, Portneuf CRM, Quebec, Canada"
"Lacolle Municipalité, Le Haut-Richelieu CRM, Quebec, Canada"
"Markstay-Warren Municipality, Sudbury District, Ontario, Canada"
"Wawa Municipality, Algoma District, Ontario, Canada"
"Rougemont Municipalité, Rouville CRM, Quebec, Canada"
"Saint-Gabriel-de-Brandon Municipalité, D'Autray CRM, Quebec, Canada"
"Saint-Alexandre Municipalité, Le Haut-Richelieu CRM, Quebec, Canada"
"Victoria, Subd. A Subdivision of County Municipality, Victoria County, Nova Scotia, Canada"
"Shippagan Town, Gloucester County, New Brunswick, Canada"
"Sundre Town, Division No. 6, Alberta, Canada"
"Weedon Municipalité, Le Haut-Saint-François CRM, Quebec, Canada"
"Peace River E Regional District Electoral Area, Peace River Regional district, British Columbia, Canada"
"Moosomin Town, Division No. 5, Saskatchewan, Canada"
"Plessisville Paroisse, L'Érable CRM, Quebec, Canada"
"Strathcona C Regional District Electoral Area, Strathcona Regional district, British Columbia, Canada"
"Perry Township, Parry Sound District, Ontario, Canada"
"Sainte-Clotilde Municipalité, Les Jardins-de-Napierville CRM, Quebec, Canada"
"Atikokan Town, Rainy River District, Ontario, Canada"
"Eeyou Istchee Baie-James Municipality, Nord-du-Québec CDR, Quebec, Canada"
"La Présentation Municipalité, Les Maskoutains CRM, Quebec, Canada"
"Pilot Butte Town, Division No. 6, Saskatchewan, Canada"
"Spaniard's Bay Town, Division No. 1, Newfoundland and Labrador, Canada"
"Saint-Elzéar Municipalité, La Nouvelle-Beauce CRM, Quebec, Canada"
"Sicamous District Municipality, Columbia-Shuswap Regional district, British Columbia, Canada"
"Turner Valley Town, Division No. 6, Alberta, Canada"
"Central Kootenay I Regional District Electoral Area, Central Kootenay Regional district, British Columbia, Canada"
"Cowichan Valley H Regional District Electoral Area, Cowichan Valley Regional district, British Columbia, Canada"
"Grimshaw Town, Division No. 19, Alberta, Canada"
"Sandy Bay 5 Indian Reserve, Division No. 8, Manitoba, Canada"
"Russell-Binscarth Municipality, Division No. 16, Manitoba, Canada"
"Front of Yonge Township, Leeds and Grenville United counties, Ontario, Canada"
"Grand Manan Village, Charlotte County, New Brunswick, Canada"
"Algonquin Highlands Township, Haliburton County, Ontario, Canada"
"Saint-Martin Paroisse, Beauce-Sartigan CRM, Quebec, Canada"
"Wickham Municipalité, Drummond CRM, Quebec, Canada"
"Saint-Charles-de-Bellechasse Municipalité, Bellechasse CRM, Quebec, Canada"
"Saint-Côme Municipalité, Matawinie CRM, Quebec, Canada"
"Saint-Chrysostome Municipalité, Le Haut-Saint-Laurent CRM, Quebec, Canada"
"Sussex Parish, Kings County, New Brunswick, Canada"
"Division No. 7, Subd. E, Division No. 7, Newfoundland and Labrador, Canada"
"Saint-Roch-de-Richelieu Municipalité, Pierre-De Saurel CRM, Quebec, Canada"
"Black River-Matheson Township, Cochrane District, Ontario, Canada"
"Laurier-Station Village, Lotbinière CRM, Quebec, Canada"
"O'Leary Fire District, Prince County, Prince Edward Island, Canada"
"Scott Municipalité, La Nouvelle-Beauce CRM, Quebec, Canada"
"Bedford Ville, Brome-Missisquoi CRM, Quebec, Canada"
"Huntingdon Ville, Le Haut-Saint-Laurent CRM, Quebec, Canada"
"Meadow Lake No. 588 Rural Municipality, Division No. 17, Saskatchewan, Canada"
"Richmond, Subd. C Subdivision of County Municipality, Richmond County, Nova Scotia, Canada"
"Souris-Glenwood Municipality, Division No. 7, Manitoba, Canada"
"Dufferin Rural Municipality, Division No. 3, Manitoba, Canada"
"Waskaganish Terres réservées aux Cris, Nord-du-Québec CDR, Quebec, Canada"
"Saint-Bernard Municipalité, La Nouvelle-Beauce CRM, Quebec, Canada"
"Tyendinaga Mohawk Territory Indian Reserve, Hastings County, Ontario, Canada"
"Addington Highlands Township, Lennox and Addington County, Ontario, Canada"
"Saint-Léonard-d'Aston Municipalité, Nicolet-Yamaska CRM, Quebec, Canada"
"Sainte-Croix Municipalité, Lotbinière CRM, Quebec, Canada"
"La Ronge Town, Division No. 18, Saskatchewan, Canada"
"Grey Rural Municipality, Division No. 9, Manitoba, Canada"
"Cap-Chat Ville, La Haute-Gaspésie CRM, Quebec, Canada"
"La Loche Northern Village, Division No. 18, Saskatchewan, Canada"
"Bouctouche Town, Kent County, New Brunswick, Canada"
"Rosetown Town, Division No. 12, Saskatchewan, Canada"
"Hébertville Municipalité, Lac-Saint-Jean-Est CRM, Quebec, Canada"
"North Shore Rural Municipality, Queens County, Prince Edward Island, Canada"
"Vernon River Fire District, Queens County, Prince Edward Island, Canada"
"Saint-Michel-des-Saints Municipalité, Matawinie CRM, Quebec, Canada"
"Unity Town, Division No. 13, Saskatchewan, Canada"
"Parry Sound, Unorganized, Centre Part Unorganized, Parry Sound District, Ontario, Canada"
"Saint George Parish, Charlotte County, New Brunswick, Canada"
"Rivière-Beaudette Municipalité, Vaudreuil-Soulanges CRM, Quebec, Canada"
"Fox Lake 162 Indian Reserve, Division No. 17, Alberta, Canada"
"Highlands District Municipality, Capital Regional district, British Columbia, Canada"
"Magrath Town, Division No. 3, Alberta, Canada"
"Pohénégamook Ville, Témiscouata CRM, Quebec, Canada"
"Rosthern No. 403 Rural Municipality, Division No. 15, Saskatchewan, Canada"
"Holyrood Town, Division No. 1, Newfoundland and Labrador, Canada"
"Rimbey Town, Division No. 8, Alberta, Canada"
"Saint-François-Xavier-de-Brompton Municipalité, Le Val-Saint-François CRM, Quebec, Canada"
"Ville-Marie Ville, Témiscamingue CRM, Quebec, Canada"
"Fraser Valley H Regional District Electoral Area, Fraser Valley Regional district, British Columbia, Canada"
"Saint-Raphaël Municipalité, Bellechasse CRM, Quebec, Canada"
"Sainte-Victoire-de-Sorel Municipalité, Pierre-De Saurel CRM, Quebec, Canada"
"Berwick Town, Kings County, Nova Scotia, Canada"
"Saint-Damase Municipalité, Les Maskoutains CRM, Quebec, Canada"
"Cap-Pelé Village, Westmorland County, New Brunswick, Canada"
"Northeastern Manitoulin and the Islands Municipality, Manitoulin District, Ontario, Canada"
"Emerson-Franklin Municipality, Division No. 2, Manitoba, Canada"
"Pessamit Indian Reserve, Manicouagan CRM, Quebec, Canada"
"Sexsmith Town, Division No. 19, Alberta, Canada"
"Cowichan Indian Reserve, Cowichan Valley Regional district, British Columbia, Canada"
"Sainte-Thècle Municipalité, Mékinac CRM, Quebec, Canada"
"Killaloe, Hagarty and Richards Township, Renfrew County, Ontario, Canada"
"Trenton Town, Pictou County, Nova Scotia, Canada"
"Pembina Municipality, Division No. 4, Manitoba, Canada"
"Chase Village, Thompson-Nicola Regional district, British Columbia, Canada"
"Tumbler Ridge District Municipality, Peace River Regional district, British Columbia, Canada"
"Nelson House 170 Indian Reserve, Division No. 22, Manitoba, Canada"
"Lunenburg Town, Lunenburg County, Nova Scotia, Canada"
"Hanna Town, Division No. 4, Alberta, Canada"
"Saint-Damien Paroisse, Matawinie CRM, Quebec, Canada"
"Léry Ville, Roussillon CRM, Quebec, Canada"
"Clearwater District Municipality, Thompson-Nicola Regional district, British Columbia, Canada"
"Cowichan Valley G Regional District Electoral Area, Cowichan Valley Regional district, British Columbia, Canada"
"Salisbury Village, Westmorland County, New Brunswick, Canada"
"High Prairie Town, Division No. 17, Alberta, Canada"
"Gracefield Ville, La Vallée-de-la-Gatineau CRM, Quebec, Canada"
"Burrard Inlet 3 Indian Reserve, Greater Vancouver Regional district, British Columbia, Canada"
"Inkerman Parish, Gloucester County, New Brunswick, Canada"
"Saint-Polycarpe Municipalité, Vaudreuil-Soulanges CRM, Quebec, Canada"
"Témiscaming Ville, Témiscamingue CRM, Quebec, Canada"
"Logy Bay-Middle Cove-Outer Cove Town, Division No. 1, Newfoundland and Labrador, Canada"
"Mandeville Municipalité, D'Autray CRM, Quebec, Canada"
"Daveluyville Ville, Arthabaska CRM, Quebec, Canada"
"Disraeli Ville, Les Appalaches CRM, Quebec, Canada"
"Brooke-Alvinston Municipality, Lambton County, Ontario, Canada"
"Anmore Village, Greater Vancouver Regional district, British Columbia, Canada"
"Port McNeill Town, Mount Waddington Regional district, British Columbia, Canada"
"Esterhazy Town, Division No. 5, Saskatchewan, Canada"
"Saint-Denis-sur-Richelieu Municipalité, La Vallée-du-Richelieu CRM, Quebec, Canada"
"Saint-Mathieu Municipalité, Roussillon CRM, Quebec, Canada"
"Saddle Hills County Municipal District, Division No. 19, Alberta, Canada"
"Outlook Town, Division No. 11, Saskatchewan, Canada"
"Assiniboia Town, Division No. 3, Saskatchewan, Canada"
"Fossambault-sur-le-Lac Ville, La Jacques-Cartier CRM, Quebec, Canada"
"Maskinongé Municipalité, Maskinongé CRM, Quebec, Canada"
"Saint-Éphrem-de-Beauce Municipalité, Beauce-Sartigan CRM, Quebec, Canada"
"Sunshine Coast F Regional District Electoral Area, Sunshine Coast Regional district, British Columbia, Canada"
"Saint-Victor Municipalité, Robert-Cliche CRM, Quebec, Canada"
"Boissevain-Morton Municipality, Division No. 5, Manitoba, Canada"
"East River, Part 1 Fire District, Queens County, Prince Edward Island, Canada"
"Okanagan-Similkameen I Regional District Electoral Area, Okanagan-Similkameen Regional district, British Columbia, Canada"
"Waterville Ville, Coaticook CRM, Quebec, Canada"
"Chetwynd District Municipality, Peace River Regional district, British Columbia, Canada"
"Lillooet District Municipality, Squamish-Lillooet Regional district, British Columbia, Canada"
"Okanagan-Similkameen G Regional District Electoral Area, Okanagan-Similkameen Regional district, British Columbia, Canada"
"Kuujjuaq Village Nordique, Nord-du-Québec CDR, Quebec, Canada"
"North Frontenac Township, Frontenac County, Ontario, Canada"
"Gore Canton, Argenteuil CRM, Quebec, Canada"
"Brigham Municipalité, Brome-Missisquoi CRM, Quebec, Canada"
"Eastman Municipalité, Memphrémagog CRM, Quebec, Canada"
"Saint-Pamphile Ville, L'Islet CRM, Quebec, Canada"
"Beaverlodge Town, Division No. 19, Alberta, Canada"
"Port-Daniel--Gascons Municipalité, Le Rocher-Percé CRM, Quebec, Canada"
"Sainte-Madeleine Village, Les Maskoutains CRM, Quebec, Canada"
"Ermineskin 138 Indian Reserve, Division No. 11, Alberta, Canada"
"Fermont Ville, Sept-Rivières--Caniapiscau CDR, Quebec, Canada"
