longname,Population,Population [StatCan],Population [GHS-POP],Population (2010),Population Change (2010-2020),Population (2000),Population Change (2000-2020),PW Density (r=1km),PW Density (1km) [StatCan],PW Density (r=1km) [GHS-POP],PW Density (r=1km) (2010),PW Density (r=1km) Change (2010-2020),PW Density (r=1km) (2000),PW Density (r=1km) Change (2000-2020),AW Density,Area-weighted Density [StatCan],AW Density [GHS-POP],AW Density (2010),AW Density (2000),Area,Compactness
"Guangzhou Urban Center, China",,,39843284.0,,,,,,,14778.077,,,,,,,6045.061640175536,,,6591.04677034245,0.03553195738463472
"Jakarta Urban Center, Indonesia",,,38901030.0,,,,,,,10049.482,,,,,,,7817.314196768486,,,4976.265635591425,0.04008440721060826
"Tokyo Urban Center, Japan",,,33510670.0,,,,,,,8612.225,,,,,,,6314.985242098066,,,5306.531799410278,0.04789819497887917
"Delhi [New Delhi] Urban Center, India",,,30151516.0,,,,,,,22856.99,,,,,,,12231.816159536342,,,2465.0072897386417,0.08291983621719824
"Shanghai Urban Center, China",,,28022226.0,,,,,,,20684.258,,,,,,,8471.931694562552,,,3307.6548549116847,0.10389906998974817
"Dhaka Urban Center, Bangladesh",,,27359072.0,,,,,,,35169.812,,,,,,,8461.634810624395,,,3233.308055985595,0.049598827941662656
"Kolkata Urban Center, India",,,23682008.0,,,,,,,31751.445,,,,,,,8446.859847472984,,,2803.64637600621,0.0775085104454964
"Quezon City [Manila] Urban Center, Philippines",,,23437532.0,,,,,,,20325.844,,,,,,,11613.55578106641,,,2018.118519584693,0.07113691167858179
"Cairo Urban Center, Egypt",,,23426174.0,,,,,,,36355.43,,,,,,,14829.633488474656,,,1579.6866468889089,0.11830376609724709
"Mumbai Urban Center, India",,,22884898.0,,,,,,,38607.406,,,,,,,21361.487285172036,,,1071.315760672031,0.060908149402926555
"Seoul Urban Center, South Korea",,,22444156.0,,,,,,,15631.794,,,,,,,9180.713860085763,,,2444.7070611337335,0.057903948621179556
"São Paulo Urban Center, Brazil",,,19158732.0,,,,,,,11076.834,,,,,,,9599.29249967104,,,1995.8483399330264,0.1690380275477836
"Karachi Urban Center, Pakistan",,,18064068.0,,,,,,,38803.848,,,,,,,24093.794560455568,,,749.7394382887294,0.22816842121967207
"Mexico City Urban Center, Mexico",,,17546812.0,,,,,,,10126.187,,,,,,,8343.826371611858,,,2102.96945532081,0.12166921789045197
