longname,Population,PW Density (r=1km),AW Density,Population [GHS-POP],PW Density (r=1km) [GHS-POP],AW Density [GHS-POP],Area,Compactness
"Northeast Dallas Neighborhood, Dallas City, Texas, USA",239235.0,2664.485250658542,2184.844118828646,,,,109.49751423376618,0.2832764591218096
"Paradise Neighborhood, Las Vegas City, Nevada, USA",223675.0,3130.6262437908017,1974.839849199249,,,,113.26234888904786,0.23233558887894062
"Upper West Side Neighborhood, New York City, New York, USA",222544.0,30837.344863198206,42087.769169886895,,,,5.2876169107871505,0.5223993023196296
"Maryvale Neighborhood, Phoenix City, Arizona, USA",221971.0,3214.0246108737633,2685.3067879097584,,,,82.6613186245219,0.25195540929362864
"Spring Valley Neighborhood, Las Vegas City, Nevada, USA",206683.0,2900.6911668600724,2294.405705781355,,,,90.08127877262862,0.6218461934252143
"Sunrise Manor Neighborhood, Las Vegas City, Nevada, USA",206560.0,3231.8328343077665,2280.984765342208,,,,90.55737817214685,0.1783976868674326
"Upper East Side Neighborhood, New York City, New York, USA",204171.0,40066.18383596636,45580.58524560912,,,,4.479341344562227,0.6677936664002666
"South Los Angeles Neighborhood, Los Angeles City, California, USA",203775.0,7051.21959345915,6504.60897919644,,,,31.32778628995678,0.38316974030859596
"East New York Neighborhood, New York City, New York, USA",202858.0,15454.706943674777,11748.7936187601,,,,17.266283380455572,0.5352138878733073
"Southeast Los Angeles Neighborhood, Los Angeles City, California, USA",190236.0,7928.36233618969,7566.990537926139,,,,25.140245523835077,0.4421020835663315
"Deer Valley Neighborhood, Phoenix City, Arizona, USA",182025.0,1978.2616205988234,1232.1139952629364,,,,147.73389532123232,0.5586281662068316
"Astoria Neighborhood, New York City, New York, USA",179542.0,16052.702863374543,13669.376008771907,,,,13.13461564630195,0.5208267557303381
"Bedford Stuyvesant Neighborhood, New York City, New York, USA",174960.0,24287.987670907616,23679.636188657238,,,,7.388627029827741,0.6109026911086651
