longname,PW Mean % of parkland within 1km,Within 10km of Hospital %,Mean distance to nearest Hospital,Within 2km of Public School %,Mean distance to nearest Public School,Within 30km of Airport %,Mean distance to nearest Airport,Within 10km of Active Superfund Site %,Mean distance to nearest Active Superfund Site,Within 0.5mi of a grocery store %,Within 1mi of a grocery store %,Within 10mi of a grocery store %,Within 20mi of a grocery store %
"Uttar Pradesh, India",,,,,,,,,,,,,
"Mahārāshtra, India",,,,,,,,,,,,,
"Punjab, Pakistan",,,,,,,,,,,,,
"Bihār, India",,,,,,,,,,,,,
"Guangdong Sheng, China",,,,,,,,,,,,,
"West Bengal, India",,,,,,,,,,,,,
"Shandong Sheng, China",,,,,,,,,,,,,
"Henan Sheng, China",,,,,,,,,,,,,
"Jiangsu Sheng, China",,,,,,,,,,,,,
"Tamil Nādu, India",,,,,,,,,,,,,
"Madhya Pradesh, India",,,,,,,,,,,,,
"Rājasthān, India",,,,,,,,,,,,,
"Hebei Sheng, China",,,,,,,,,,,,,
"Sichuan Sheng, China",,,,,,,,,,,,,
"Karnātaka, India",,,,,,,,,,,,,
"Gujarāt, India",,,,,,,,,,,,,
"Hunan Sheng, China",,,,,,,,,,,,,
"Anhui Sheng, China",,,,,,,,,,,,,
"Zhejiang Sheng, China",,,,,,,,,,,,,
"England, United Kingdom",,,,,,,,,,,,,
"Hubei Sheng, China",,,,,,,,,,,,,
"Jawa Barat, Indonesia",,,,,,,,,,,,,
"Andhra Pradesh, India",,,,,,,,,,,,,
"Sindh, Pakistan",,,,,,,,,,,,,
"Jiangxi Sheng, China",,,,,,,,,,,,,
"Yunnan Sheng, China",,,,,,,,,,,,,
"Guangxi Zhuangzu Zizhiqu, China",,,,,,,,,,,,,
"Dhaka, Bangladesh",,,,,,,,,,,,,
"Liaoning Sheng, China",,,,,,,,,,,,,
"São Paulo, Brazil",,,,,,,,,,,,,
"Odisha, India",,,,,,,,,,,,,
"Oromīya, Ethiopia",,,,,,,,,,,,,
"Kerala, India",,,,,,,,,,,,,
"Heilongjiang Sheng, China",,,,,,,,,,,,,
"California, USA",0.02304079504060619,0.9194345218204779,4.483288810359575,0.9407108834429146,0.8541304313317507,0.7311225687224379,25.16339783858264,0.4178716611158041,19.986167224059486,0.4898277217909697,0.8152488206854546,0.9946775825794911,0.9990947512457921
"Shanxi Sheng, China",,,,,,,,,,,,,
"Jawa Timur, Indonesia",,,,,,,,,,,,,
"Shaanxi Sheng, China",,,,,,,,,,,,,
"Jhārkhand, India",,,,,,,,,,,,,
"Telangāna, India",,,,,,,,,,,,,
"Fujian Sheng, China",,,,,,,,,,,,,
"Khyber Pakhtunkhwa, Pakistan",,,,,,,,,,,,,
"Assam, India",,,,,,,,,,,,,
"Guizhou Sheng, China",,,,,,,,,,,,,
"Chattogram, Bangladesh",,,,,,,,,,,,,
"Jawa Tengah, Indonesia",,,,,,,,,,,,,
"Chongqing Shi, China",,,,,,,,,,,,,
"Punjab, India",,,,,,,,,,,,,
"Shanghai Shi, China",,,,,,,,,,,,,
"Haryāna, India",,,,,,,,,,,,,
"Texas, USA",0.020746050627906257,0.8265163410655073,6.384393300823987,0.8316434107154633,1.568455834714707,0.6284652746653524,30.105709993068057,0.18104777055180393,38.81000625743552,0.26151096153529596,0.6036007800450934,0.9807245185322818,0.9984644729643127
"Chhattīsgarh, India",,,,,,,,,,,,,
"Jilin Sheng, China",,,,,,,,,,,,,
"Nei Mongol Zizhiqu, China",,,,,,,,,,,,,
"Gansu Sheng, China",,,,,,,,,,,,,
"Xinjiang Uygur Zizhiqu, China",,,,,,,,,,,,,
"Āmara, Ethiopia",,,,,,,,,,,,,
"Taiwan, China",,,,,,,,,,,,,
"Beijing Shi, China",,,,,,,,,,,,,
"Florida, USA",0.016503267641026352,0.8760170817306306,5.625582666305469,0.7634602767852553,1.6990827952584329,0.7073411443117602,25.634702333408864,0.35754053131264435,27.46266134589908,0.3000536090119461,0.6504754000344973,0.9932060970024951,0.9997783385857494
"Minas Gerais, Brazil",,,,,,,,,,,,,
"Delhi, India",,,,,,,,,,,,,
"Rajshahi, Bangladesh",,,,,,,,,,,,,
"New York, USA",0.04490817885849149,0.8672758109093501,4.565040298804778,0.8636338164409046,1.107057376303031,0.8552724763334715,17.88158960563463,0.6177279043507403,11.495585481822665,0.5768819219645579,0.7661852490929664,0.9961567169295384,0.9999564115154629
"YeDebub Bihēroch Bihēreseboch na Hizboch, Ethiopia",,,,,,,,,,,,,
"Rangpur, Bangladesh",,,,,,,,,,,,,
"Nordrhein-Westfalen, Germany",,,,,,,,,,,,,
