longname,Silent %,Boomer %,Gen X %,Millennial %,Gen Z %,Gen Alpha %
"Creek OTSA, USA",0.06314749059255688,0.21944898921684017,0.18172763108811993,0.20716581403724332,0.1953371463434694,0.13317292872177025
"Cherokee OTSA, USA",0.06832018078946951,0.23172422697024236,0.18099027202295703,0.18294361145028387,0.20618035977651045,0.12984134899053673
"Lumbee SDTSA, USA",0.05137911062492444,0.20153577780455353,0.17620208623010578,0.21754121591870942,0.20993436302461507,0.14340744639709188
"Chickasaw OTSA, USA",0.07248140801199653,0.2363657623149112,0.18283250405389903,0.1816933694078629,0.19940590259274527,0.12722105361858516
"Choctaw OTSA, USA",0.08024488370094546,0.23822165812119214,0.17141039257161736,0.1886204720344451,0.19269788333590274,0.1288047102358972
"Kiowa-Comanche-Apache-Fort Sill Apache OTSA, USA",0.060153183263292304,0.20629253519165708,0.16927565124411456,0.2156867776658493,0.21531772209313965,0.13327413054194717
"Cheyenne and Arapaho OTSA, USA",0.05934943755499897,0.2128320787616703,0.179124917970983,0.20800762095597936,0.20641242188538736,0.13427352287098107
"United Houma Nation SDTSA, USA",0.05895711091366824,0.21653161039267438,0.1821751934757539,0.21135300742204266,0.1961151232208328,0.1348679545750282
"Citizen Potawatomi Nation-Absentee Shawnee OTSA, USA",0.05621567297296214,0.25304032196470516,0.19938281162285934,0.18373347921248295,0.1892355309377707,0.1183921832892196
"Cher-O-Creek SDTSA, USA",0.07415199823486765,0.23771325658177653,0.18701955959332733,0.19060660617870637,0.1829319188123433,0.12757666059897882
"Knik ANVSA, USA",0.03632604532688839,0.21421438066856083,0.18747675191974045,0.21500538480692402,0.2037022585498055,0.1432751787280808
"Coharie SDTSA, USA",0.0650260051340757,0.22578896333779422,0.180780288569646,0.19999406016167112,0.1882719048822753,0.14013877791453758
"Sac and Fox OTSA, USA",0.0761235091236526,0.23591038207384302,0.17608324129368094,0.1925589464464556,0.18581524981013478,0.1335086712522331
"Echota Cherokee SDTSA, USA",0.05528969394299916,0.23890135410212582,0.20796971003274375,0.18340765949844567,0.1921624013677971,0.12226918105588856
"Samish TDSA, USA",0.12179144021575333,0.3602698887525744,0.16260274247587128,0.14666326173725042,0.1272619139072393,0.08141075291131139
"Kenaitze ANVSA, USA",0.06084071283983879,0.2629585877182011,0.18085569913466237,0.18264046842048645,0.18353544681501177,0.12916908507179958
"Four Winds Cherokee SDTSA, USA",0.05396014509430527,0.2144720243693123,0.17910735964758598,0.23113459805090653,0.18703318053818793,0.13429269229970212
"Natchitoches SDTSA, USA",0.05284494669300204,0.19263596571202046,0.14549352059353668,0.16726740453790676,0.3162243270053065,0.1255338354582275
"Kickapoo OTSA, USA",0.05517017717474228,0.23443002060185908,0.17730166421576438,0.17812630246749456,0.229917411908312,0.12505442363182775
"Kaw/Ponca joint-use OTSA, USA",0.07845062569659814,0.22221714598812983,0.16332278127200447,0.19723342702752225,0.2020514454444318,0.13672457457131354
"Chickaloon ANVSA, USA",0.04002784517555721,0.2229582812612392,0.18555983624527836,0.20581732111120898,0.2066169908567414,0.13901972534997473
"MaChis Lower Creek SDTSA, USA",0.07428411683892537,0.2607878205466667,0.20014457870500812,0.16377379221380536,0.19459735532449682,0.10641233637109744
"Seminole OTSA, USA",0.07550470039119042,0.23512852458274802,0.17344460299129794,0.17930036506846248,0.2061034076248406,0.13051839934146045
"Ninilchik ANVSA, USA",0.05681016900620317,0.31285041667254104,0.1643783947041771,0.1844010060427298,0.15917309062069285,0.12238692295365598
"Pawnee OTSA, USA",0.07705260446286356,0.2539004902214776,0.1912637829557991,0.1652865967461075,0.19135713250328454,0.12113939311046777
"Caddo-Wichita-Delaware OTSA, USA",0.0760306304202356,0.23373978154601385,0.18862053143326146,0.20389024907624864,0.1734159078660311,0.12430289965820937
"Bayou Lafourche SDTSA, USA",0.07092442767081036,0.27186658313967704,0.1809957717753936,0.21480390794278742,0.1376212358331684,0.12378807363816308
"Cherokee Tribe of Northeast Alabama SDTSA, USA",0.06575483954398433,0.21127311491662257,0.186332392522512,0.18217103593457487,0.21158306630277274,0.1428855507795334
"Ketchikan ANVSA, USA",0.05176261654323695,0.2588149753017283,0.19179252047470155,0.20064519869315456,0.1769256417670923,0.12005904722008623
"Nanticoke Indian Tribe SDTSA, USA",0.1256035561592901,0.382266498617545,0.16046858876659673,0.1360570284515401,0.1116593955485477,0.0839449324564803
"Kiowa-Comanche-Apache-Ft Sill Apache/Caddo-Wichita-Delaware joint-use OTSA, USA",0.057935756664015146,0.2217252972166569,0.18145668578455643,0.18035683006379682,0.20760747522073214,0.1509179550502427
"Grand Caillou/Dulac SDTSA, USA",0.0787787145928863,0.208060892244818,0.1832424605270975,0.18235120529766952,0.26920001452050946,0.07836671281701912
"Occaneechi-Saponi SDTSA, USA",0.06444737820407971,0.2478174646317381,0.2267525938215287,0.1548207998622774,0.2016423820111543,0.10451938146922185
"Haliwa-Saponi SDTSA, USA",0.08973289897594457,0.2405072179944676,0.21551663552660366,0.15644592203869187,0.20555789125360113,0.09223943421069104
"Meherrin SDTSA, USA",0.09583624832187186,0.2681132377138691,0.16053111195919273,0.1981224999972868,0.1886812624328935,0.08871563957488607
"Iowa OTSA, USA",0.08171527857009472,0.26733984309308295,0.17161011207862364,0.18533993208689276,0.16869423775660525,0.12530059641470065
"Georgia Tribe of Eastern Cherokee SDTSA, USA",0.09822137207621388,0.2276898213079183,0.1642900179668031,0.19413251020766842,0.2425082264092515,0.07315805203214483
