longname,2020 Presidential Election,2016 Presidential Election,2016-2020 Swing
"Houston TX HSA, Houston TX HRR, USA",0.16191035903686615,0.15201370749536977,0.009896651541496382
"Chicago IL HSA, Chicago IL HRR, USA",0.6818330124045857,0.7212267931187021,-0.039393780714116367
"Brooklyn NY HSA, New York NY HRR, USA",0.5433935064590262,0.6110708101141221,-0.06767730365509594
"Dallas TX HSA, Dallas TX HRR, USA",0.2764608353530424,0.2149218332096097,0.06153900214343269
"Phoenix AZ HSA, Phoenix AZ HRR, USA",0.10934129916606052,0.0657362516015586,0.04360504756450191
"San Antonio TX HSA, San Antonio TX HRR, USA",0.08354840224895584,0.03846495884312617,0.04508344340582967
"Las Vegas NV HSA, Las Vegas NV HRR, USA",0.10228337685458674,0.11686765302748638,-0.014584276172899632
"New York NY HSA, New York NY HRR, USA",0.7140502141523527,0.7537378886110645,-0.0396876744587118
"Miami FL HSA, Miami FL HRR, USA",0.11669165139146857,0.3306934421124439,-0.2140017907209753
"Los Angeles CA HSA, Los Angeles CA HRR, USA",0.6547337526812671,0.743722780030737,-0.0889890273494699
"Denver CO HSA, Denver CO HRR, USA",0.2856672244910637,0.19234704716749046,0.09332017732357323
"Philadelphia PA HSA, Philadelphia PA HRR, USA",0.5769882850513789,0.606646433518055,-0.029658148466676137
"Austin TX HSA, Austin TX HRR, USA",0.32229143020305046,0.25140504315044243,0.07088638705260802
"Atlanta GA HSA, Atlanta GA HRR, USA",0.48633709601465686,0.43098844175578777,0.05534865425886909
"St Louis MO HSA, St Louis MO HRR, USA",0.16665496311488873,0.11138573718862887,0.05526922592625985
"Columbus OH HSA, Columbus OH HRR, USA",0.2012174092627701,0.15259432046506033,0.04862308879770977
"Portland OR HSA, Portland OR HRR, USA",0.46129428834959857,0.40379513949923773,0.05749914885036084
"Orlando FL HSA, Orlando FL HRR, USA",0.19122406663805577,0.1943406205843131,-0.0031165539462573166
"Minneapolis MN HSA, Minneapolis MN HRR, USA",0.3039550017643394,0.22728337282717362,0.07667162893716581
"Fort Worth TX HSA, Fort Worth TX HRR, USA",-0.07521203904988856,-0.1452618533710685,0.07004981432117995
"Raleigh NC HSA, Raleigh NC HRR, USA",0.19345053934275633,0.1373320264395882,0.05611851290316813
"Charlotte NC HSA, Charlotte NC HRR, USA",0.22616584708856427,0.167712625527616,0.05845322156094826
"San Jose CA HSA, San Jose CA HRR, USA",0.4478806599607109,0.5189573692465764,-0.07107670928586551
"Bronx NY HSA, Bronx NY HRR, USA",0.6807443096159669,0.8042762368037074,-0.12353192718774053
"Baltimore MD HSA, Baltimore MD HRR, USA",0.39882811745973035,0.3405281796581348,0.058299937801595536
