longname,Silent %,Silent % [StatCan],Boomer %,Boomer % [StatCan],Gen X %,Gen X % [StatCan],Millennial %,Millennial % [StatCan],Gen Z %,Gen Z % [StatCan],Gen Alpha %,Gen Alpha % [StatCan]
"Uttar Pradesh, India",,,,,,,,,,,,
"Mahārāshtra, India",,,,,,,,,,,,
"Punjab, Pakistan",,,,,,,,,,,,
"Bihār, India",,,,,,,,,,,,
"Guangdong Sheng, China",,,,,,,,,,,,
"West Bengal, India",,,,,,,,,,,,
"Shandong Sheng, China",,,,,,,,,,,,
"Henan Sheng, China",,,,,,,,,,,,
"Jiangsu Sheng, China",,,,,,,,,,,,
"Tamil Nādu, India",,,,,,,,,,,,
"Madhya Pradesh, India",,,,,,,,,,,,
"Rājasthān, India",,,,,,,,,,,,
"Hebei Sheng, China",,,,,,,,,,,,
"Sichuan Sheng, China",,,,,,,,,,,,
"Karnātaka, India",,,,,,,,,,,,
"Gujarāt, India",,,,,,,,,,,,
"Hunan Sheng, China",,,,,,,,,,,,
"Anhui Sheng, China",,,,,,,,,,,,
"Zhejiang Sheng, China",,,,,,,,,,,,
"England, United Kingdom",,,,,,,,,,,,
"Hubei Sheng, China",,,,,,,,,,,,
"Jawa Barat, Indonesia",,,,,,,,,,,,
"Andhra Pradesh, India",,,,,,,,,,,,
"Sindh, Pakistan",,,,,,,,,,,,
"Jiangxi Sheng, China",,,,,,,,,,,,
"Yunnan Sheng, China",,,,,,,,,,,,
"Guangxi Zhuangzu Zizhiqu, China",,,,,,,,,,,,
"Dhaka, Bangladesh",,,,,,,,,,,,
"Liaoning Sheng, China",,,,,,,,,,,,
"São Paulo, Brazil",,,,,,,,,,,,
"Odisha, India",,,,,,,,,,,,
"Oromīya, Ethiopia",,,,,,,,,,,,
"Kerala, India",,,,,,,,,,,,
"Heilongjiang Sheng, China",,,,,,,,,,,,
"California, USA",0.058452748182333196,,0.20691661625167196,,0.19291793212197814,,0.22086624096417687,,0.19957380823429294,,0.12127265424554683,
"Shanxi Sheng, China",,,,,,,,,,,,
"Jawa Timur, Indonesia",,,,,,,,,,,,
"Shaanxi Sheng, China",,,,,,,,,,,,
"Jhārkhand, India",,,,,,,,,,,,
"Telangāna, India",,,,,,,,,,,,
"Fujian Sheng, China",,,,,,,,,,,,
"Khyber Pakhtunkhwa, Pakistan",,,,,,,,,,,,
"Assam, India",,,,,,,,,,,,
"Guizhou Sheng, China",,,,,,,,,,,,
"Chattogram, Bangladesh",,,,,,,,,,,,
"Jawa Tengah, Indonesia",,,,,,,,,,,,
"Chongqing Shi, China",,,,,,,,,,,,
"Punjab, India",,,,,,,,,,,,
"Shanghai Shi, China",,,,,,,,,,,,
"Haryāna, India",,,,,,,,,,,,
"Texas, USA",0.0480732655370193,,0.19044163696096428,,0.1908234182485503,,0.21576766185977253,,0.21627178418359735,,0.13862223321009634,
"Chhattīsgarh, India",,,,,,,,,,,,
"Jilin Sheng, China",,,,,,,,,,,,
"Nei Mongol Zizhiqu, China",,,,,,,,,,,,
"Gansu Sheng, China",,,,,,,,,,,,
"Xinjiang Uygur Zizhiqu, China",,,,,,,,,,,,
"Āmara, Ethiopia",,,,,,,,,,,,
"Taiwan, China",,,,,,,,,,,,
"Beijing Shi, China",,,,,,,,,,,,
"Florida, USA",0.08922782109888903,,0.2502410992324667,,0.1888902735232134,,0.19090918853659905,,0.17450711546827677,,0.10622450214055498,
"Minas Gerais, Brazil",,,,,,,,,,,,
"Delhi, India",,,,,,,,,,,,
"Rajshahi, Bangladesh",,,,,,,,,,,,
"New York, USA",0.06961460478547114,,0.23035364016694693,,0.18982676355755548,,0.21023822948919674,,0.18632868552126627,,0.11363807647956348,
"YeDebub Bihēroch Bihēreseboch na Hizboch, Ethiopia",,,,,,,,,,,,
"Rangpur, Bangladesh",,,,,,,,,,,,
"Nordrhein-Westfalen, Germany",,,,,,,,,,,,
"Buenos Aires, Argentina",,,,,,,,,,,,
"Rio de Janeiro, Brazil",,,,,,,,,,,,
"Khulna, Bangladesh",,,,,,,,,,,,
"México, Mexico",,,,,,,,,,,,
"Tianjin Shi, China",,,,,,,,,,,,
"Gauteng, South Africa",,,,,,,,,,,,
"Bahia, Brazil",,,,,,,,,,,,
"Jammu and Kashmīr, India",,,,,,,,,,,,
"İstanbul, Turkey",,,,,,,,,,,,
"Ontario, Canada",,0.07960578598364289,,0.24684644190280414,,0.1916776947045357,,0.20422481452596813,,0.17586503417042215,,0.10178022871262705
"Kano, Nigeria",,,,,,,,,,,,
"Sumatera Utara, Indonesia",,,,,,,,,,,,
"Banten, Indonesia",,,,,,,,,,,,
