longname,"Agriculture, forestry, fishing and hunting %","Agriculture, forestry, fishing and hunting % [StatCan]","Mining, quarrying, and oil and gas extraction %","Mining, quarrying, and oil and gas extraction % [StatCan]",Accommodation and food services %,Accommodation and food services % [StatCan],"Arts, entertainment, and recreation %","Arts, entertainment, and recreation % [StatCan]",Construction %,Construction % [StatCan],Educational services %,Educational services % [StatCan],Health care and social assistance %,Health care and social assistance % [StatCan],Finance and insurance %,Finance and insurance % [StatCan],Real estate and rental and leasing %,Real estate and rental and leasing % [StatCan],Information %,Information % [StatCan],Manufacturing %,Manufacturing % [StatCan],"Other services, except public administration %","Other services, except public administration % [StatCan]",Administrative and support and waste management services %,Administrative and support and waste management services % [StatCan],Management of companies and enterprises %,Management of companies and enterprises % [StatCan],"Professional, scientific, and technical services %","Professional, scientific, and technical services % [StatCan]",Public administration %,Public administration % [StatCan],Retail trade %,Retail trade % [StatCan],Transportation and warehousing %,Transportation and warehousing % [StatCan],Utilities %,Utilities % [StatCan],Wholesale trade %,Wholesale trade % [StatCan]
"California, USA",0.01993174004416817,,0.0012144276236426895,,0.0725087517026831,,0.02575185297622988,,0.06615826629353025,,0.08666443521364661,,0.1269744817285568,,0.03761398451096444,,0.021698360027563684,,0.02889220760445763,,0.08978136887938976,,0.04964843075217831,,0.04584654690028218,,0.0013121793745395811,,0.09272945510629754,,0.0462870271455742,,0.10278135581579038,,0.04981778611466426,,0.0075403724812747154,,0.02684696970456596,
"Shanxi Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jawa Timur, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shaanxi Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jhārkhand, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Telangāna, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fujian Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khyber Pakhtunkhwa, Pakistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assam, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Guizhou Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chattogram, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jawa Tengah, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chongqing Shi, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Punjab, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shanghai Shi, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haryāna, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Texas, USA",0.007864455367422717,,0.019636266544553135,,0.0730480827908257,,0.014675985384760946,,0.08693694389347663,,0.09586535985425239,,0.12080673347029322,,0.0478785161884851,,0.02043661079530186,,0.01641240994085625,,0.08520463859799438,,0.049886079234077646,,0.0444081115798844,,0.0018796987296868376,,0.07310690610231045,,0.04133953941437977,,0.11106529221030399,,0.053366503544611796,,0.00913152677434234,,0.027050339582180234,
"Chhattīsgarh, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jilin Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nei Mongol Zizhiqu, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gansu Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Xinjiang Uygur Zizhiqu, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Āmara, Ethiopia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Taiwan, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beijing Shi, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Florida, USA",0.007638557646153726,,0.0007210046635442336,,0.08558673728323223,,0.029167046564112443,,0.08045286944740893,,0.0757166176542001,,0.13544478545653557,,0.049885311645847086,,0.028263010419559313,,0.016839456202043804,,0.0514142763792985,,0.05206423582273212,,0.0587748210850523,,0.0012997017569014195,,0.07508542461787586,,0.043193701840158444,,0.12288789100641828,,0.05232915664663064,,0.007590429261579044,,0.025644964600715796,
"Minas Gerais, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delhi, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rajshahi, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New York, USA",0.004875430080119683,,0.0006059192723863908,,0.06323200056343423,,0.024264389550173057,,0.05768490878684823,,0.11421922949465775,,0.1722952553077266,,0.05780207910560316,,0.022872877200029746,,0.027967625681440247,,0.0588210897627091,,0.04686773169317567,,0.03712375749057316,,0.0011268982781298567,,0.08647112566714499,,0.04739255088394293,,0.09835104143041186,,0.0501456315367029,,0.006432659235853125,,0.02144779897893741,
"YeDebub Bihēroch Bihēreseboch na Hizboch, Ethiopia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rangpur, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nordrhein-Westfalen, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Buenos Aires, Argentina",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rio de Janeiro, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khulna, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"México, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tianjin Shi, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gauteng, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahia, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jammu and Kashmīr, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"İstanbul, Turkey",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ontario, Canada",,0.01244131791236959,,0.0034587867497749016,,0.05451374315504196,,0.014957526037903065,,0.07713877859946527,,0.07597986142900623,,0.1244604874931594,,0.05548248129487911,,0.018207750708316015,,0.020918839440478086,,0.09403241273555017,,0.038647144794067285,,0.04465824036856271,,0.0019057379138298846,,0.09757767515742152,,0.059923709778229195,,0.11544567371086431,,0.052736570470166576,,0.005010348602544405,,0.03250291364837031
"Kano, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sumatera Utara, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Banten, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gyeonggi-do, South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tehrān, Iran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mymensingh, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tôkyô, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bayern, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pennsylvania, USA",0.008585372546923112,,0.00370302950429599,,0.06013875092240818,,0.018129914710282077,,0.059976880168676076,,0.09517045003620953,,0.16710658276970022,,0.050844330288295186,,0.015026599897515171,,0.015980593823360912,,0.11656891762187856,,0.04687837171101133,,0.03675337055259916,,0.001516232032431584,,0.06980199211861683,,0.04004438539187084,,0.10935718766693794,,0.049642425816409416,,0.008961136002444924,,0.02581347641813301,
"National Capital Region, Philippines",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Illinois, USA",0.008529919446131634,,0.0016004758769385054,,0.06660252024261493,,0.01976823074944294,,0.054413122477840005,,0.09496465912935086,,0.13909146864539662,,0.056690094347972515,,0.017097943798624303,,0.017352972188505966,,0.11733596707077407,,0.046052812841090945,,0.040276928737599714,,0.0018436946591837546,,0.08094810080364874,,0.03750965582023745,,0.10375376995857982,,0.060430164951544005,,0.0069498500750453255,,0.028787648179477786,
"Moskva, Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Île-de-France, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ohio, USA",0.007216190173882812,,0.0022114495440003147,,0.0705882453501634,,0.01682147946824192,,0.05745844476345601,,0.08484540024380252,,0.15669009760139524,,0.05050880069548255,,0.014908046045216537,,0.014666645102771573,,0.15021834361489841,,0.04307750292411175,,0.03751861341016216,,0.001573017807305422,,0.059893072539816086,,0.039134671957166176,,0.11173077138948455,,0.047534046110388556,,0.008151103830795738,,0.025254057427458256,
"Uttarākhand, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Krung Thep Maha Nakhon, Thailand",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paraná, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rio Grande do Sul, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baden-Württemberg, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lagos, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kwazulu-Natal, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Georgia, USA",0.00917736035674689,,0.00115858230097857,,0.07365679906392746,,0.016158072214156594,,0.06720325535095047,,0.09263392607167675,,0.1174294274062221,,0.04289304227688984,,0.020202609918100703,,0.022619864857034693,,0.10399911800298002,,0.04626523722184427,,0.04867518847841158,,0.0016626278049720151,,0.0795452592765503,,0.04768929581344611,,0.11220920759940525,,0.06087425354221252,,0.00868326783994989,,0.027263604603543753,
"Hồ Chí Minh, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kinshasa, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Al Jīzah, Egypt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"North Carolina, USA",0.010112280874222569,,0.0013202073315402452,,0.0728385972441282,,0.017605957108249633,,0.07213964144905306,,0.08962838725024493,,0.13739342909057542,,0.049476256789441175,,0.018770225331496488,,0.016572624596415345,,0.12069665398652905,,0.048915608929829664,,0.041819528829566424,,0.001105612762062598,,0.07217827422219865,,0.04113563512914686,,0.11433647701187709,,0.04127327440538737,,0.008297748637986383,,0.024383579020048757,
"Al Qāhirah, Egypt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Luanda, Angola",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sylhet, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lombardia, Italy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Michigan, USA",0.009722984701510125,,0.0011884286307586804,,0.07170597170114035,,0.017883530775861908,,0.05611061363269289,,0.08513716560910195,,0.1478396262511007,,0.04143093655047307,,0.0152355528056547,,0.012712382499530883,,0.18684667812681682,,0.04529366101207916,,0.037400389398532984,,0.0013977614321423696,,0.059072003110913825,,0.034453637790037385,,0.1079107955794302,,0.03774622378773341,,0.00782881105565891,,0.023082845548829632,
"Pernambuco, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ar Riyāḑ, Saudi Arabia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Municipalidad Metropolitana de Lima, Peru",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khorāsān-e Raẕavī, Iran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seoul-teukbyeolsi, South Korea",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Makkah al Mukarramah, Saudi Arabia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hainan Sheng, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kanagawa, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ceará, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New Jersey, USA",0.0027736046356123998,,0.0004855426201270606,,0.054300245111486845,,0.020421444462961416,,0.06045018241011874,,0.1031012152044843,,0.13774668054643674,,0.06669490761706279,,0.019025839618093583,,0.02607955082608424,,0.0812644850886536,,0.042508347098438044,,0.03958342439823124,,0.0015964822661171491,,0.09693433333917335,,0.04397531309481984,,0.10713206457117092,,0.056846740636979844,,0.007481115487849244,,0.031598480966098505,
"Azerbaijan, Azerbaijan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sulawesi Selatan, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Distrito Capital de Bogotá, Colombia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fārs, Iran",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rivers, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaduna, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Virginia, USA",0.006744540064649077,,0.00162790831506907,,0.06635145541223611,,0.018499005313252576,,0.06523250663152427,,0.09814692103181862,,0.12361059123054162,,0.04523817748641145,,0.018870530837054762,,0.018377308436319535,,0.07028920014739676,,0.05240473287383756,,0.0416790728041414,,0.0011633624486567047,,0.11964756386749788,,0.08943226938576032,,0.09879073472254461,,0.03908309139198101,,0.007513625634452047,,0.017297401964854856,
"Katsina, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Veracruz de Ignacio de la Llave, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pará, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Quebec, Canada",,0.016027932019813097,,0.003957417769416398,,0.05375612684628629,,0.01313203031980617,,0.06954527547667577,,0.0810595473146579,,0.14866447237907954,,0.03773057472245276,,0.01073335639519034,,0.01882428676894618,,0.10755534008106231,,0.04344448481062544,,0.03828860761199983,,0.0002605750266786169,,0.08136428312912183,,0.06776872866589262,,0.12356327140016624,,0.04799034818690704,,0.004243766969389234,,0.03208957410583242
"Lampung, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ôsaka, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moskovskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yangon, Myanmar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balochistan, Pakistan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Oyo, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Catalunya, Spain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ash Sharqīyah, Egypt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Andalucía, Spain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"New South Wales, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jalisco, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sumatera Selatan, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Auvergne-Rhône-Alpes, France",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barishal, Bangladesh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Niedersachsen, Germany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ciudad de México, Mexico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Región Metropolitana de Santiago, Chile",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aiti, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Riau, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Washington, USA",0.023092195067869303,,0.0009971963480383348,,0.065757293743648,,0.021622902934188736,,0.07140383640756001,,0.08339755499530019,,0.1318690297182478,,0.031574772015367264,,0.021121950103913958,,0.0221217459528911,,0.09406033477161325,,0.04465306041181366,,0.03802788413005042,,0.0017129325663350372,,0.10034246485739316,,0.049673028457246096,,0.11597504780891794,,0.04848023536281301,,0.007796291884465722,,0.02632024246232702,
"Jakarta Raya, Indonesia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Himāchal Pradesh, India",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casablanca-Settat, Morocco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hà Nội, Vietnam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bauchi, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Al Kharţūm, Sudan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Nord-Kivu, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goiás, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ad Daqahlīyah, Egypt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Anambra, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maranhão, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Western Cape, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Madrid, Comunidad de, Spain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Haut-Katanga, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hong Kong, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Santa Catarina, Brazil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Selangor, Malaysia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saitama, Japan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Arizona, USA",0.00796006946607304,,0.004512927715916643,,0.07700288030058844,,0.023255748766029885,,0.07307205485527321,,0.09031336972744251,,0.1302943587469234,,0.0630430151464941,,0.023812312039207983,,0.01751103160108306,,0.07206824767595206,,0.045600814257984935,,0.05517015201309552,,0.001678721903988323,,0.06812184967123201,,0.048326946507635096,,0.11961563185971269,,0.046721415632856166,,0.009439774060849974,,0.022478678051660907,
"Ningxia Zizhiiqu, China",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Massachusetts, USA",0.0037745630490880083,,0.0004467728236694997,,0.059459640052339696,,0.019528175274582008,,0.05887469407455966,,0.11775673617767682,,0.16343935460896852,,0.05621357451656421,,0.01694757430448571,,0.02168910697665849,,0.08922516311193736,,0.04323219899667743,,0.03692209998431336,,0.0014943017965315477,,0.10997539775223988,,0.03902327277265362,,0.10014842551886015,,0.03402766850805064,,0.007097532103895434,,0.020723747596247715,
"Ashanti, Ghana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sumalē, Ethiopia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Al Buḩayrah, Egypt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tennessee, USA",0.008003135079591318,,0.001354502121644726,,0.07625152107968393,,0.01757600546165514,,0.06669522268087145,,0.08457411847910448,,0.14211970639215032,,0.04218830654490655,,0.017439396880444203,,0.015682321325557688,,0.13019330763195291,,0.047996607423499524,,0.04378884845945523,,0.0022826203122109224,,0.05459769163242483,,0.04141022569109233,,0.11417249996268465,,0.06017554191423407,,0.008978040144929042,,0.024520380781906666,
"Tigray, Ethiopia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Indiana, USA",0.010062065450335111,,0.0018364015388860197,,0.06641498429830466,,0.016980408333264092,,0.0625779201783631,,0.09158414394927294,,0.1411220751768046,,0.03794860721093664,,0.014651838877758684,,0.013147343077643028,,0.1865771659310288,,0.04519208852378233,,0.034979911858878394,,0.0009538829433979268,,0.05032786073370484,,0.03528474836223416,,0.10799425270915315,,0.05029710023891605,,0.007973427854181828,,0.024093772753153612,
"Akwa Ibom, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dar es Salaam, Tanzania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eastern Cape, South Africa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Shan, Myanmar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vlaamse Gewest, Belgium",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Victoria, Australia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ogun, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bāgmatī, Nepal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Delta, Nigeria",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
