longname,Not Cohabiting With Partner %,Cohabiting With Partner (Gay) %,Cohabiting With Partner (Straight) %,Living With Parents %,Other Living Situation %,Never Married %,Never Married % [StatCan],Married (not divorced) %,Married (not divorced) % [StatCan],Divorced %,Divorced % [StatCan]
"Uttar Pradesh, India",,,,,,,,,,,
"Mahārāshtra, India",,,,,,,,,,,
"Punjab, Pakistan",,,,,,,,,,,
"Bihār, India",,,,,,,,,,,
"Guangdong Sheng, China",,,,,,,,,,,
"West Bengal, India",,,,,,,,,,,
"Shandong Sheng, China",,,,,,,,,,,
"Henan Sheng, China",,,,,,,,,,,
"Jiangsu Sheng, China",,,,,,,,,,,
"Tamil Nādu, India",,,,,,,,,,,
"Madhya Pradesh, India",,,,,,,,,,,
"Rājasthān, India",,,,,,,,,,,
"Hebei Sheng, China",,,,,,,,,,,
"Sichuan Sheng, China",,,,,,,,,,,
"Karnātaka, India",,,,,,,,,,,
"Gujarāt, India",,,,,,,,,,,
"Hunan Sheng, China",,,,,,,,,,,
"Anhui Sheng, China",,,,,,,,,,,
"Zhejiang Sheng, China",,,,,,,,,,,
"England, United Kingdom",,,,,,,,,,,
"Hubei Sheng, China",,,,,,,,,,,
"Jawa Barat, Indonesia",,,,,,,,,,,
"Andhra Pradesh, India",,,,,,,,,,,
"Sindh, Pakistan",,,,,,,,,,,
"Jiangxi Sheng, China",,,,,,,,,,,
"Yunnan Sheng, China",,,,,,,,,,,
"Guangxi Zhuangzu Zizhiqu, China",,,,,,,,,,,
"Dhaka, Bangladesh",,,,,,,,,,,
"Liaoning Sheng, China",,,,,,,,,,,
"São Paulo, Brazil",,,,,,,,,,,
"Odisha, India",,,,,,,,,,,
"Oromīya, Ethiopia",,,,,,,,,,,
"Kerala, India",,,,,,,,,,,
"Heilongjiang Sheng, China",,,,,,,,,,,
"California, USA",0.14542521735963432,0.00738424600146537,0.37171812325072906,0.34274014382862905,0.1327322695595421,0.37392410680159605,,0.5345271938410432,,0.09154869935736078,
"Shanxi Sheng, China",,,,,,,,,,,
"Jawa Timur, Indonesia",,,,,,,,,,,
"Shaanxi Sheng, China",,,,,,,,,,,
"Jhārkhand, India",,,,,,,,,,,
"Telangāna, India",,,,,,,,,,,
"Fujian Sheng, China",,,,,,,,,,,
"Khyber Pakhtunkhwa, Pakistan",,,,,,,,,,,
"Assam, India",,,,,,,,,,,
"Guizhou Sheng, China",,,,,,,,,,,
"Chattogram, Bangladesh",,,,,,,,,,,
"Jawa Tengah, Indonesia",,,,,,,,,,,
"Chongqing Shi, China",,,,,,,,,,,
"Punjab, India",,,,,,,,,,,
"Shanghai Shi, China",,,,,,,,,,,
"Haryāna, India",,,,,,,,,,,
"Texas, USA",0.156773124263434,0.005905135132939633,0.3900686786381602,0.354397229710434,0.09285583225503218,0.33102670243287713,,0.5653373902785153,,0.10363590728860761,
"Chhattīsgarh, India",,,,,,,,,,,
"Jilin Sheng, China",,,,,,,,,,,
"Nei Mongol Zizhiqu, China",,,,,,,,,,,
"Gansu Sheng, China",,,,,,,,,,,
"Xinjiang Uygur Zizhiqu, China",,,,,,,,,,,
"Āmara, Ethiopia",,,,,,,,,,,
"Taiwan, China",,,,,,,,,,,
"Beijing Shi, China",,,,,,,,,,,
"Florida, USA",0.17647867903732323,0.008025594391655776,0.40352211873601435,0.3008844709922025,0.11108913684280432,0.3146161716629637,,0.5564805423868291,,0.12890328595020717,
"Minas Gerais, Brazil",,,,,,,,,,,
"Delhi, India",,,,,,,,,,,
"Rajshahi, Bangladesh",,,,,,,,,,,
"New York, USA",0.18590934446059082,0.007628950497784233,0.3692718333074563,0.3175946290686345,0.11959524266553422,0.38406832804812313,,0.5259473269809275,,0.08998434497094933,
"YeDebub Bihēroch Bihēreseboch na Hizboch, Ethiopia",,,,,,,,,,,
"Rangpur, Bangladesh",,,,,,,,,,,
"Nordrhein-Westfalen, Germany",,,,,,,,,,,
"Buenos Aires, Argentina",,,,,,,,,,,
"Rio de Janeiro, Brazil",,,,,,,,,,,
"Khulna, Bangladesh",,,,,,,,,,,
"México, Mexico",,,,,,,,,,,
"Tianjin Shi, China",,,,,,,,,,,
"Gauteng, South Africa",,,,,,,,,,,
"Bahia, Brazil",,,,,,,,,,,
"Jammu and Kashmīr, India",,,,,,,,,,,
"İstanbul, Turkey",,,,,,,,,,,
"Ontario, Canada",,,,,,,0.3547340269815264,,0.5408776784915662,,0.10438829452690741
"Kano, Nigeria",,,,,,,,,,,
"Sumatera Utara, Indonesia",,,,,,,,,,,
"Banten, Indonesia",,,,,,,,,,,
"Gyeonggi-do, South Korea",,,,,,,,,,,
