longname,PW Density (250m) [StatCan],PW Density (500m) [StatCan],PW Density (2km) [StatCan],PW Density (4km) [StatCan]
"Edmonton--Wetaskiwin (Riding), Alberta, Canada",3886.463790385174,2672.513967254587,1494.3194726627958,897.7615816897428
"Calgary Shepard (Riding), Alberta, Canada",4669.5937495026,3379.269875356531,2211.3031962051355,1629.9387301511417
"Brampton West (Riding), Ontario, Canada",6039.847401878023,4853.028529519594,3990.113448993375,3107.2583448609807
"Calgary Skyview (Riding), Alberta, Canada",6257.26765496742,4830.557778700914,2992.232200129366,1823.298498102194
"Banff--Airdrie (Riding), Alberta, Canada",3583.4629888329628,2190.965934346898,1147.5875948793769,698.2834145679851
"Simcoe--Grey (Riding), Ontario, Canada",2018.3620356517583,1210.7935974973695,480.81514966851194,223.98666666740203
"Durham (Riding), Ontario, Canada",3236.4328310989363,2421.9162261606375,1358.7487671458512,892.7303025026648
"Oakville North--Burlington (Riding), Ontario, Canada",4637.772648004749,3795.4297022916985,2547.087588157765,1671.063764936201
"King--Vaughan (Riding), Ontario, Canada",4391.535440496451,2944.297356314581,1889.9124397769097,1553.149390451546
"Niagara Falls (Riding), Ontario, Canada",2209.4826623110052,1616.1146730833639,960.0035567072447,678.9463398031169
"Calgary Rocky Ridge (Riding), Alberta, Canada",4736.458255606752,3195.448328691739,2251.400527150741,1765.2636686342394
"Guelph (Riding), Ontario, Canada",3806.8730697834303,2732.1890669271197,1827.8422258243609,1261.8630775152776
"Dufferin--Caledon (Riding), Ontario, Canada",2726.753364695096,1680.3688844244375,722.5507115147931,423.80715161234605
"Etobicoke--Lakeshore (Riding), Ontario, Canada",10209.67021433121,6733.185572098704,3322.0688103782545,2787.8275575568487
"Brantford--Brant (Riding), Ontario, Canada",2910.490860594777,2077.3520671591773,1275.6169406494837,854.7279796414911
"Orléans (Riding), Ontario, Canada",3937.819482667911,2910.723613182404,2025.0811723858546,1520.6212674810977
"London West (Riding), Ontario, Canada",4166.488269020887,3012.341494261047,2238.890620816959,1851.4543514253949
"Whitby (Riding), Ontario, Canada",3746.340079978194,2911.5959294945874,1969.494302307559,1552.3444883554832
"London North Centre (Riding), Ontario, Canada",4603.0661062361,3170.7584626382263,2444.420674562591,2118.7967680294446
"Milton (Riding), Ontario, Canada",5459.46465193536,4206.157519708832,2722.159301525632,1693.538923352357
"North Okanagan--Shuswap (Riding), British Columbia, Canada",1865.218747785966,984.5913088707142,497.90871306164246,297.4406727035757
"Kelowna--Lake Country (Riding), British Columbia, Canada",2977.654369758718,1809.8818182783675,1013.1191930891443,672.487569519953
"Markham--Stouffville (Riding), Ontario, Canada",4198.337763365552,3225.268056543744,2170.058321913155,1531.2038152769805
"Spadina--Fort York (Riding), Ontario, Canada",26302.50213553543,18826.953019514174,11558.598027423184,7829.502743535866
"Kamloops--Thompson--Cariboo (Riding), British Columbia, Canada",2522.2272835521053,1400.9187869061577,684.273723255882,416.5099808067147
"Essex (Riding), Ontario, Canada",1878.927309501129,1117.5429173085838,501.90511180846624,297.4721758760845
"Edmonton West (Riding), Alberta, Canada",4071.743324704825,3000.7071689659037,2084.778772923858,1612.8335738567152
"Nanaimo--Ladysmith (Riding), British Columbia, Canada",2402.23559124355,1507.6942452754001,931.8052949679944,629.3158449532696
"Langley--Aldergrove (Riding), British Columbia, Canada",3587.292258520329,2366.275097237148,1332.691449570517,912.6244924488574
"Mirabel (Riding), Quebec, Canada",2619.7310613654613,1552.5689431646606,686.8392002033422,447.78385401396736
"Nepean (Riding), Ontario, Canada",4458.419987179839,3553.4079377212506,2309.392891407275,1601.322446053869
"Brampton South (Riding), Ontario, Canada",5839.806129003187,4549.889210239682,3479.4868156718103,2948.1145011815065
"Edmonton Manning (Riding), Alberta, Canada",4479.592823420273,3479.098321819532,2724.3359450613716,2129.024489167245
"Coquitlam--Port Coquitlam (Riding), British Columbia, Canada",5895.971697765552,4238.424689252574,2709.3939535529053,2054.9417678345194
"Brampton East (Riding), Ontario, Canada",5660.272536102725,4368.423612573582,2871.8332392840794,1960.7620911947847
"Surrey Centre (Riding), British Columbia, Canada",6482.402226850689,5208.004272977069,3730.9859084262566,3155.2456475978665
"Red Deer--Lacombe (Riding), Alberta, Canada",2139.6254109721435,1448.2068504588729,735.4407494293068,419.1034844359401
"Carleton (Riding), Ontario, Canada",2579.9044792854525,1737.3977487402774,910.988383446147,665.7227407733434
"Oshawa (Riding), Ontario, Canada",3887.4510106173348,3050.7048654960845,2406.671588922659,2020.3838571157105
"West Vancouver--Sunshine Coast--Sea to Sky Country (Riding), British Columbia, Canada",2262.156923228991,1299.2584379077452,600.9292651392096,382.7632841497707
"St. Albert--Edmonton (Riding), Alberta, Canada",4074.5624411326517,2677.8870905412055,1901.547321181854,1404.8781846427778
"Cloverdale--Langley City (Riding), British Columbia, Canada",5372.914112411924,4517.319813346422,2639.053361466452,1840.2334165686232
"Windsor West (Riding), Ontario, Canada",3471.4361166983017,2901.276216606142,1957.520580201665,1487.165265156355
"Calgary Centre (Riding), Alberta, Canada",7875.15407086258,6102.338644968289,3984.6359092649745,2913.065986331266
"Pontiac (Riding), Quebec, Canada",2491.0135997739617,1376.881916689071,611.7922291286137,421.35816872562276
"Vaudreuil--Soulanges (Riding), Quebec, Canada",2710.8926896028443,1790.4910544247775,975.7377799932815,576.1635829411665
"Calgary Midnapore (Riding), Alberta, Canada",3917.328603647245,2857.3056288164557,1883.744752207513,1637.3680633087522
"Esquimalt--Saanich--Sooke (Riding), British Columbia, Canada",3045.2774212413556,2025.5290282644667,1504.0026514509777,1336.3821120135246
"Markham--Unionville (Riding), Ontario, Canada",5582.857545711154,3957.537834331154,2571.2677031939584,2018.5479836071734
"Wellington--Halton Hills (Riding), Ontario, Canada",2110.5766650633045,1383.2164729422623,725.4817747203072,384.6254707087484
"Mississauga Centre (Riding), Ontario, Canada",14349.10325682236,10053.459881711742,5650.5116218110115,4382.323622351918
"Waterloo (Riding), Ontario, Canada",4301.514519359508,2895.3756349257783,1964.1246500290104,1693.0790520765077
"Newmarket--Aurora (Riding), Ontario, Canada",4074.0827197166395,2834.309343122458,2018.9273555944465,1528.0990526477194
"London--Fanshawe (Riding), Ontario, Canada",3870.9384394199387,2826.2402826917514,1852.7337616595942,1530.6664894902858
"Vancouver Centre (Riding), British Columbia, Canada",23796.50534817234,19450.038866968633,10143.249242394593,5338.21883668175
"Ajax (Riding), Ontario, Canada",4941.182910779086,3782.4784532484273,2494.060001816491,1722.0371295501675
"Elgin--Middlesex--London (Riding), Ontario, Canada",2089.8581748613833,1259.9228375974794,695.3921643973556,456.4580842715464
