longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time < 15 min % [StatCan],Commute Time 15 - 29 min %,Commute Time 15 - 29 min % [StatCan],Commute Time 30 - 59 min %,Commute Time 30 - 59 min % [StatCan],Commute Time > 60 min %,Commute Time > 60 min % [StatCan],Households With no Vehicle %,Households With 1+ Vehicles %,Households With 2+ Vehicles %,Traffic Fatalities Per Capita Per Year,Pedestrian/Cyclist Fatalities Per Capita Per Year,Total Traffic Fatalities In Last Decade,Total Pedestrian/Cyclist Fatalities In Last Decade
"Uttar Pradesh, India",,,,,,,,,,,,,,,,,,,,
"Mahārāshtra, India",,,,,,,,,,,,,,,,,,,,
"Punjab, Pakistan",,,,,,,,,,,,,,,,,,,,
"Bihār, India",,,,,,,,,,,,,,,,,,,,
"Guangdong Sheng, China",,,,,,,,,,,,,,,,,,,,
"West Bengal, India",,,,,,,,,,,,,,,,,,,,
"Shandong Sheng, China",,,,,,,,,,,,,,,,,,,,
"Henan Sheng, China",,,,,,,,,,,,,,,,,,,,
"Jiangsu Sheng, China",,,,,,,,,,,,,,,,,,,,
"Tamil Nādu, India",,,,,,,,,,,,,,,,,,,,
"Madhya Pradesh, India",,,,,,,,,,,,,,,,,,,,
"Rājasthān, India",,,,,,,,,,,,,,,,,,,,
"Hebei Sheng, China",,,,,,,,,,,,,,,,,,,,
"Sichuan Sheng, China",,,,,,,,,,,,,,,,,,,,
"Karnātaka, India",,,,,,,,,,,,,,,,,,,,
"Gujarāt, India",,,,,,,,,,,,,,,,,,,,
"Hunan Sheng, China",,,,,,,,,,,,,,,,,,,,
"Anhui Sheng, China",,,,,,,,,,,,,,,,,,,,
"Zhejiang Sheng, China",,,,,,,,,,,,,,,,,,,,
"England, United Kingdom",,,,,,,,,,,,,,,,,,,,
"Hubei Sheng, China",,,,,,,,,,,,,,,,,,,,
"Jawa Barat, Indonesia",,,,,,,,,,,,,,,,,,,,
"Andhra Pradesh, India",,,,,,,,,,,,,,,,,,,,
"Sindh, Pakistan",,,,,,,,,,,,,,,,,,,,
"Jiangxi Sheng, China",,,,,,,,,,,,,,,,,,,,
"Yunnan Sheng, China",,,,,,,,,,,,,,,,,,,,
"Guangxi Zhuangzu Zizhiqu, China",,,,,,,,,,,,,,,,,,,,
"Dhaka, Bangladesh",,,,,,,,,,,,,,,,,,,,
"Liaoning Sheng, China",,,,,,,,,,,,,,,,,,,,
"São Paulo, Brazil",,,,,,,,,,,,,,,,,,,,
"Odisha, India",,,,,,,,,,,,,,,,,,,,
"Oromīya, Ethiopia",,,,,,,,,,,,,,,,,,,,
"Kerala, India",,,,,,,,,,,,,,,,,,,,
"Heilongjiang Sheng, China",,,,,,,,,,,,,,,,,,,,
"California, USA",0.7995851789912214,0.010336881371617567,0.02426324982228957,0.04068689840221881,0.11356385537504386,0.2143036370783106,,0.35259602663069706,,0.3099688681053745,,0.1231314681856178,,0.0689705633721014,0.9310294366278986,0.6314031633159952,9.536832369245023e-05,2.8589501455454028e-05,37701.0,11302.0
"Shanxi Sheng, China",,,,,,,,,,,,,,,,,,,,
"Jawa Timur, Indonesia",,,,,,,,,,,,,,,,,,,,
"Shaanxi Sheng, China",,,,,,,,,,,,,,,,,,,,
"Jhārkhand, India",,,,,,,,,,,,,,,,,,,,
"Telangāna, India",,,,,,,,,,,,,,,,,,,,
"Fujian Sheng, China",,,,,,,,,,,,,,,,,,,,
"Khyber Pakhtunkhwa, Pakistan",,,,,,,,,,,,,,,,,,,,
"Assam, India",,,,,,,,,,,,,,,,,,,,
"Guizhou Sheng, China",,,,,,,,,,,,,,,,,,,,
"Chattogram, Bangladesh",,,,,,,,,,,,,,,,,,,,
"Jawa Tengah, Indonesia",,,,,,,,,,,,,,,,,,,,
"Chongqing Shi, China",,,,,,,,,,,,,,,,,,,,
"Punjab, India",,,,,,,,,,,,,,,,,,,,
"Shanghai Shi, China",,,,,,,,,,,,,,,,,,,,
"Haryāna, India",,,,,,,,,,,,,,,,,,,,
"Texas, USA",0.8676217568025101,0.0033769792961041672,0.014581429855822902,0.011324495052647605,0.09141203693830059,0.24649002626200742,,0.3637779944211368,,0.3073507372641756,,0.08238124205268006,,0.052105616353924716,0.9478943836460753,0.6279579017620728,0.00013052113959342073,2.4667222391153866e-05,38039.0,7189.0
"Chhattīsgarh, India",,,,,,,,,,,,,,,,,,,,
"Jilin Sheng, China",,,,,,,,,,,,,,,,,,,,
"Nei Mongol Zizhiqu, China",,,,,,,,,,,,,,,,,,,,
"Gansu Sheng, China",,,,,,,,,,,,,,,,,,,,
