longname,PW Mean Hilliness (Grade),PW Mean Elevation
"New York NY Media Market, USA",0.04597301587780092,48.23937050254407
"Los Angeles CA Media Market, USA",0.04239648717890107,215.18645585674955
"Chicago IL Media Market, USA",0.03696615622189971,203.60273951383573
"Philadelphia PA Media Market, USA",0.04100359257983789,61.55271523040635
"Dallas-Ft.Worth TX Media Market, USA",0.042184867737931314,185.701421589663
"San Francisco-Oakland-San Jose CA Media Market, USA",0.04778565871485708,67.47588248757535
"Houston TX Media Market, USA",0.04319254889789485,33.082231154854355
"Atlanta GA Media Market, USA",0.05899668673779581,298.6924326339176
"Washington DC (Hagerstown MD) Media Market, USA",0.05258166793946791,97.58142383621966
"Boston MA (Manchester NH) Media Market, USA",0.0500304871857247,69.00924404014854
"Phoenix (Prescott) AZ Media Market, USA",0.03481413200843335,523.476453058861
"Seattle-Tacoma WA Media Market, USA",0.07161305034884322,94.34029519779
"Tampa-St.Petersburg (Sarasota) FL Media Market, USA",0.047364906592159826,19.018947914251296
"Detroit MI Media Market, USA",0.03668979980943262,221.40846591404355
"Minneapolis-St. Paul MN Media Market, USA",0.051112687726779536,295.8447395528204
"Miami-Ft. Lauderdale FL Media Market, USA",0.029783818568243088,11.979086416970171
"Denver CO Media Market, USA",0.04134753341441703,1704.6189920172362
"Sacramento-Stockton-Modesto CA Media Market, USA",0.03726480895980206,102.55889818028331
"Orlando-Daytona Beach-Melbourne FL Media Market, USA",0.04731348117853207,21.4853380965311
"Cleveland-Akron (Canton) OH Media Market, USA",0.05142167843686838,284.5529009428965
"Portland OR Media Market, USA",0.057691314601003185,113.02042128391525
"Salt Lake City UT Media Market, USA",0.04710066296908387,1423.6338946763067
"Charlotte NC Media Market, USA",0.062250312006462444,247.7746593486208
"Raleigh-Durham (Fayetteville) NC Media Market, USA",0.04979940352475932,98.4605987093184
"San Diego CA Media Market, USA",0.05529981363315183,126.38462586084418
"St. Louis MO Media Market, USA",0.04539473313383829,174.89335631600773
"Indianapolis IN Media Market, USA",0.043666155735615456,245.4538404537721
"Nashville TN Media Market, USA",0.061458348683838454,209.08505690741606
"Baltimore MD Media Market, USA",0.04517493730568929,77.38054278917133
"San Antonio TX Media Market, USA",0.06803020003766372,245.14769890498346
"Pittsburgh PA Media Market, USA",0.08508864772141325,342.28038507155554
"Hartford & New Haven CT Media Market, USA",0.0494014837759115,86.18413931717464
"Columbus OH Media Market, USA",0.04643201748948726,271.21238840492447
"Kansas City MO Media Market, USA",0.046350936213936336,288.856206344679
"Cincinnati OH Media Market, USA",0.05297892825607144,237.16440742273906
"Austin TX Media Market, USA",0.056208072859265074,227.84257866841887
"Greenville-Spartanburg SC-Asheville NC-Anderson SC Media Market, USA",0.08058712470174738,391.6201440673
"Milwaukee WI Media Market, USA",0.043934996815414254,232.21891372931918
"Las Vegas NV Media Market, USA",0.029891934708709458,683.237405250227
"West Palm Beach-Fort Pierce FL Media Market, USA",0.03102683388295631,11.497669004857372
"Grand Rapids-Kalamazoo-Battle Creek MI Media Market, USA",0.04282780939409685,231.91447540683174
"Fresno-Visalia CA Media Market, USA",0.0354587557176152,106.71724571266327
"Harrisburg-Lancaster-Lebanon-York PA Media Market, USA",0.05186548524985405,159.27863236954425
"Jacksonville FL Media Market, USA",0.04357338076693571,18.3954225716618
"Norfolk-Portsmouth-Newport News VA Media Market, USA",0.02975282127822723,13.356310048549927
"Oklahoma City OK Media Market, USA",0.03328342376027428,369.5517181790086
"Birmingham (Anniston & Tuscaloosa) AL Media Market, USA",0.06796045803925466,186.11099262228126
"Albuquerque-Santa Fe NM Media Market, USA",0.039346389797845424,1676.0033144763777
"Greensboro-High Point-Winston Salem NC Media Market, USA",0.06397137896905092,257.8838974921694
"Louisville KY Media Market, USA",0.05528350418475125,189.17826113084087
"Memphis TN Media Market, USA",0.04053227427149203,97.96750706114439
"New Orleans LA Media Market, USA",0.025333886508745594,13.589873526755579
"ProvidenceRi-New Bedford MA Media Market, USA",0.04460487771643421,40.393729558750586
"Richmond-Petersburg VA Media Market, USA",0.047314413505965436,66.6175440368454
"Buffalo NY Media Market, USA",0.05516701990234014,257.3334474216397
"Mobile AL-Pensacola (Ft. Walton Beach) FL Media Market, USA",0.041960612350972905,34.81989162171539
"Wilkes Barre-Scranton PA Media Market, USA",0.06889895919859859,294.8488461462681
"Little Rock-Pine Bluff AR Media Market, USA",0.05782787625829433,118.09742823354229
"Honolulu HI Media Market, USA",0.07764628351586099,113.89867872929536
"Tulsa OK Media Market, USA",0.0402235659920724,221.38314406038361
"Knoxville TN Media Market, USA",0.07807382125112745,351.44543556139126
"Albany-Schenectady-Troy NY Media Market, USA",0.05578013926283718,152.34332033635425
"Ft. Myers-Naples FL Media Market, USA",0.027519698138648473,11.045438439705832
"Harlingen-Weslaco-Brownsville-Mcallen TX Media Market, USA",0.02969531334863472,27.965329008900955
"Lexington KY Media Market, USA",0.07338486707447917,300.7236619332155
"Spokane WA Media Market, USA",0.05943186207335267,627.9679159523546
"Dayton OH Media Market, USA",0.03722764205804235,286.90726613307874
"Tucson (Sierra Vista) AZ Media Market, USA",0.03539818393981446,856.4646356599229
"Wichita-Hutchinson KS Media Market, USA",0.03253924950629537,499.06122018940766
"Des Moines-Ames IA Media Market, USA",0.04311296070486243,301.17241197536106
"Omaha NE Media Market, USA",0.045783759206607454,355.867465292126
"Green Bay-Appleton WI Media Market, USA",0.04523973246579231,227.61409760623604
"Roanoke-Lynchburg VA Media Market, USA",0.07781156661924421,386.5917749148905
"Flint-Saginaw-Bay City MI Media Market, USA",0.03960172289684827,221.468231749102
"Waco-Temple-Bryan TX Media Market, USA",0.04585531980913128,182.1161566091645
"Columbia SC Media Market, USA",0.05588009599635896,90.79321906314232
