longname,PW Density (250m) [StatCan],PW Density (500m) [StatCan],PW Density (2km) [StatCan],PW Density (4km) [StatCan]
"Toronto Population Center, ON, Canada",8493.588462822489,6470.03814573555,4422.165780139155,3660.1333434786534
"Montréal Population Center, QC, Canada",6814.155234322117,5783.050064494103,4210.217856130927,3570.051447491765
"Vancouver Population Center, BC, Canada",7336.560263456392,5913.929126088238,3947.1156604488765,3051.7710007132287
"Calgary Population Center, AB, Canada",4822.828816223354,3608.2334014877574,2519.8581868532397,1958.7486841123643
"Edmonton Population Center, AB, Canada",4336.19178467984,3196.628740280027,2283.802905313702,1816.6617118263525
"Ottawa - Gatineau Population Center, QC-ON, Canada",4949.7912568079455,3730.2535767382033,2417.5679227804694,1885.4923336537424
"Winnipeg Population Center, MB, Canada",4234.059672362173,3396.843788216067,2467.5780117972686,2035.4649171390279
"Québec Population Center, QC, Canada",4172.565565915901,3202.129657707152,2066.448910278731,1602.4040443010258
"Hamilton Population Center, ON, Canada",4576.0021557116925,3582.2408516229034,2443.7162161313777,1863.6576613193463
"Kitchener Population Center, ON, Canada",4218.458996782224,3008.8734960085576,2023.880761303813,1643.8665241450208
"London Population Center, ON, Canada",4185.309459441644,2946.504956062473,2135.8422715589572,1801.6700906871065
"Victoria Population Center, BC, Canada",3867.7126768783037,3015.0132497650898,2172.3275122623495,1641.1676065413467
"Halifax Population Center, NS, Canada",4259.240498485033,2954.3912520125505,1785.7115923835488,1282.0758786790973
"Oshawa Population Center, ON, Canada",3912.9130272660345,3017.190889269263,2115.550090574639,1686.0224237976722
"Windsor Population Center, ON, Canada",3221.6676947730543,2536.7385134823076,1699.1901331871202,1266.3497162851027
"Saskatoon Population Center, SK, Canada",3850.089032501006,2833.231550926179,1944.3989549152354,1475.8825625784084
"St. Catharines - Niagara Falls Population Center, ON, Canada",3018.550731039517,2340.7628065400872,1632.2646367212094,1233.831338840868
"Regina Population Center, SK, Canada",3457.745294347265,2792.416408118564,1865.8385871215091,1340.529344433433
"St. John's Population Center, NL, Canada",2808.950582496328,1831.1720840249961,1088.5465843796167,746.7614062713969
"Kelowna Population Center, BC, Canada",3211.6964200940824,2070.0701196038476,1229.2868039122197,783.941860122155
"Barrie Population Center, ON, Canada",3420.4829806962452,2541.8086210094625,1486.8088607099635,1043.3362413304549
"Sherbrooke Population Center, QC, Canada",3197.551074500509,2335.3471535020817,1573.7919890312783,1143.7487843455397
"Guelph Population Center, ON, Canada",3785.2803075596007,2725.2821202027353,1824.2975834237313,1260.547782000343
"Kanata Population Center, ON, Canada",3877.1089980765883,2803.0007548497206,1639.2739780708255,1120.4222154500044
"Abbotsford Population Center, BC, Canada",4286.525784443905,3330.07161642132,2219.302050441141,1412.0146581167483
"Trois-Rivières Population Center, QC, Canada",2859.1994563395724,2081.780809009913,1308.4374744009654,1003.9677915905379
"Kingston Population Center, ON, Canada",3332.2193621117826,2459.299305157673,1414.654439449021,965.8183769676859
"Milton Population Center, ON, Canada",5927.0640795997,4605.281933562633,2982.495041018101,1841.792526656979
"Moncton Population Center, NB, Canada",2806.782037884653,1913.908215666189,1128.9703069356704,809.9594367992664
"White Rock Population Center, BC, Canada",4200.903742959059,3283.9109475143478,2016.9053212804395,1326.0046305801911
"Nanaimo Population Center, BC, Canada",2648.726085535187,1753.6410712839045,1123.3989710318322,759.2805108805418
"Brantford Population Center, ON, Canada",3407.57426285653,2515.4207171383746,1591.5588921424787,1079.9165873538586
"Chicoutimi - Jonquière Population Center, QC, Canada",2345.3877024383028,1625.0274696875313,1004.1638146464163,661.8087374049845
"Saint-Jérôme Population Center, QC, Canada",3095.3625719274705,2102.082611075745,1300.9851956461173,882.5001048396662
