longname,Housing Units per Adult,Housing Units per Adult (2010),Housing Units per Adult (2000),Vacancy %,Vacancy % (2010),Vacancy % (2000),Rent/Income < 20%,Rent/Income 20%-40%,Rent/Income > 40%,1BR Rent < $750 %,1BR Rent $750 - $1500 %,1BR Rent > $1500 %,2BR Rent < $750 %,2BR Rent $750 - $1500 %,2BR Rent > $1500 %,% units built pre-1970,% units built in 1970s,% units built in 1980s,% units built in 1990s,% units built in 2000s,% units built in 2010s+,Renter %
"Uttar Pradesh, India",,,,,,,,,,,,,,,,,,,,,,
"Mahārāshtra, India",,,,,,,,,,,,,,,,,,,,,,
"Punjab, Pakistan",,,,,,,,,,,,,,,,,,,,,,
"Bihār, India",,,,,,,,,,,,,,,,,,,,,,
"Guangdong Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"West Bengal, India",,,,,,,,,,,,,,,,,,,,,,
"Shandong Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"Henan Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"Jiangsu Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"Tamil Nādu, India",,,,,,,,,,,,,,,,,,,,,,
"Madhya Pradesh, India",,,,,,,,,,,,,,,,,,,,,,
"Rājasthān, India",,,,,,,,,,,,,,,,,,,,,,
"Hebei Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"Sichuan Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"Karnātaka, India",,,,,,,,,,,,,,,,,,,,,,
"Gujarāt, India",,,,,,,,,,,,,,,,,,,,,,
"Hunan Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"Anhui Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"Zhejiang Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"England, United Kingdom",,,,,,,,,,,,,,,,,,,,,,
"Hubei Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"Jawa Barat, Indonesia",,,,,,,,,,,,,,,,,,,,,,
"Andhra Pradesh, India",,,,,,,,,,,,,,,,,,,,,,
"Sindh, Pakistan",,,,,,,,,,,,,,,,,,,,,,
"Jiangxi Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"Yunnan Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"Guangxi Zhuangzu Zizhiqu, China",,,,,,,,,,,,,,,,,,,,,,
"Dhaka, Bangladesh",,,,,,,,,,,,,,,,,,,,,,
"Liaoning Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"São Paulo, Brazil",,,,,,,,,,,,,,,,,,,,,,
"Odisha, India",,,,,,,,,,,,,,,,,,,,,,
"Oromīya, Ethiopia",,,,,,,,,,,,,,,,,,,,,,
"Kerala, India",,,,,,,,,,,,,,,,,,,,,,
"Heilongjiang Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"California, USA",0.46655936240647405,0.48846406501091666,0.4952550733462688,0.06329884772672952,0.07905385939532876,0.056729704593126457,0.22068862697775563,0.4017386359844669,0.3775727370377775,0.13125820798388196,0.3982417539145238,0.4705000381015942,0.058678262975600734,0.31481345304011527,0.6265082839842839,0.40817767599235216,0.1737629884134012,0.1499827373387615,0.10801065331358205,0.10934630107439522,0.05071964386750795,0.4450180341857521
"Shanxi Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"Jawa Timur, Indonesia",,,,,,,,,,,,,,,,,,,,,,
"Shaanxi Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"Jhārkhand, India",,,,,,,,,,,,,,,,,,,,,,
"Telangāna, India",,,,,,,,,,,,,,,,,,,,,,
"Fujian Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"Khyber Pakhtunkhwa, Pakistan",,,,,,,,,,,,,,,,,,,,,,
"Assam, India",,,,,,,,,,,,,,,,,,,,,,
"Guizhou Sheng, China",,,,,,,,,,,,,,,,,,,,,,
"Chattogram, Bangladesh",,,,,,,,,,,,,,,,,,,,,,
"Jawa Tengah, Indonesia",,,,,,,,,,,,,,,,,,,,,,
"Chongqing Shi, China",,,,,,,,,,,,,,,,,,,,,,
"Punjab, India",,,,,,,,,,,,,,,,,,,,,,
"Shanghai Shi, China",,,,,,,,,,,,,,,,,,,,,,
"Haryāna, India",,,,,,,,,,,,,,,,,,,,,,
